Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,12.714140,14.325699,172.225000,1885.864477
2,1.000000,1.000000,14.892500,16.908250,202.425000,2626.220240
3,1.000000,1.000000,12.483061,13.512522,169.200000,2540.482255
4,0.000000,0.000148,33.343248,40.113702,1000.025000,873.963998
5,1.000000,1.000000,13.009416,14.840375,187.950000,3712.894544
6,1.000000,1.000000,12.661946,15.507345,180.500000,2965.065347
7,1.000000,1.000000,12.971508,18.011472,197.225000,3519.339005
8,1.000000,1.000000,16.157540,21.508132,252.800000,4376.032587
9,1.000000,1.000000,12.343523,16.861134,183.500000,3417.826133
10,1.000000,1.000000,12.294847,14.022655,169.450000,3450.538726
11,1.000000,1.000000,12.330733,16.075206,187.750000,3534.369719
12,1.000000,1.000000,13.926290,18.295063,202.050000,3108.402079
13,1.000000,1.000000,12.981837,15.558693,187.050000,3016.518806
14,1.000000,1.000000,12.958191,15.705113,202.500000,4168.650538
15,1.000000,1.000000,13.289498,14.558204,178.750000,2024.158711
16,1.000000,1.000000,12.450150,20.482062,188.900000,4749.056696
17,1.000000,1.000000,17.839734,22.637395,284.200000,5673.862289
18,1.000000,1.000000,12.272963,13.702801,168.700000,3303.353863
19,1.000000,1.000000,12.345061,18.282812,194.050000,4342.434543
20,1.000000,1.000000,13.793487,16.966944,206.075000,3494.309327
21,1.000000,1.000000,12.944158,16.124869,175.750000,2149.713525
22,1.000000,1.000000,13.775527,15.904050,198.875000,3277.977968
23,1.000000,1.000000,15.152915,20.153917,243.050000,4551.550390
24,1.000000,1.000000,13.405383,15.146746,180.425000,2676.336956
25,1.000000,1.000000,12.952416,14.899141,177.800000,2519.963806
26,1.000000,1.000000,12.414366,13.761183,170.075000,3403.650263
27,1.000000,1.000000,13.307556,17.969474,193.625000,3170.678316
28,1.000000,1.000000,13.933742,16.497410,194.775000,2921.878767
29,1.000000,1.000000,12.396721,14.061495,174.700000,3014.922578
30,1.000000,1.000000,12.275888,13.156312,168.200000,3332.756282
31,1.000000,1.000000,13.935679,26.605286,257.825000,7381.725054
32,1.000000,1.000000,14.406785,19.838296,223.975000,4535.723628
33,1.000000,1.000000,13.247640,22.725317,210.450000,4766.160849
34,1.000000,1.000000,12.277246,12.970512,168.225000,3305.893719
35,1.000000,1.000000,12.963623,13.871866,177.200000,3510.253759
36,1.000000,1.000000,13.712337,15.943807,202.100000,3224.327960
37,1.000000,1.000000,12.369039,13.174785,169.325000,3045.509098
38,1.000000,1.000000,13.748534,22.064414,186.350000,3895.160016
39,1.000000,1.000000,12.399193,14.311985,169.675000,3316.281841
40,1.000000,1.000000,13.340173,14.644834,186.325000,2692.924854
41,1.000000,1.000000,17.067929,23.713238,259.775000,4953.189828
42,1.000000,1.000000,12.982716,18.399420,193.625000,3990.856811
43,1.000000,1.000000,12.372131,13.630481,169.025000,3286.161193
44,1.000000,1.000000,13.197112,16.321803,194.700000,3157.930908
45,1.000000,1.000000,15.230481,19.650955,231.675000,5338.852178
46,0.000000,0.243409,30.385990,38.475028,1000.025000,50328.934151
47,1.000000,1.000000,13.109879,14.811643,178.000000,2934.756974
48,1.000000,1.000000,12.500946,16.967901,190.725000,4221.724709
49,1.000000,1.000000,12.435217,13.157664,168.225000,2188.059000
50,1.000000,1.000000,13.416957,14.589051,182.275000,2792.357036
