Time,X,Y,Z,tau_environment,KSSS,K_s,journey_2,journey_3,power_sekibun,distance_2,distance_3
0,0,0,0.55618842997416,0,0,0,0,0.55618842997416,0,12.727922061358,12.750145703116
0.025,-5.4990308164745e-05,-8.494555603539e-09,0.55274916002205,0,0,0,5.4990308820838e-05,0.55962813951677,0.025657726104496,12.727960939431,12.750387949774
0.05,-0.00010985338301517,-4.0309328749585e-08,0.54317854259008,0,0,0,0.00010985339289587,0.56919891419739,0.025661158247898,12.727999711164,12.750997628828
0.075,-0.00016459127322929,-6.8143906146898e-08,0.52747657352873,0,0,0,0.00016459129018701,0.58490097866805,0.025664603096091,12.728038397311,12.751988513641
0.1,-0.00021920401497982,-9.1605801113747e-08,0.50564325276229,0,0,0,0.00021920403697721,0.60673436773715,0.025668062481859,12.728076998173,12.753383162448
0.125,-0.00027369143743295,-1.1416856365211e-07,0.47767858036796,0,0,0,0.00027369146410187,0.63469909321411,0.02567153648112,12.728115511172,12.755212925695
0.15,-0.00032805337239678,-1.3644643985165e-07,0.44358255655421,0,0,0,0.00032805340363051,0.66879516036456,0.025675024723316,12.728153935755,12.757517935703
0.175,-0.00038228962685063,-1.5870987197624e-07,0.40335518157261,0,0,0,0.00038228966265381,0.70902257190796,0.025678526981399,12.728192271593,12.760347084131
0.2,-0.00043640001287162,-1.8096832774307e-07,0.35699645566181,0,0,0,0.00043640005325284,0.75538132939786,0.025682043355023,12.728230518546,12.763757994723
0.225,-0.00049038434354055,-2.0322068488816e-07,0.30450637905674,0,0,0,0.00049038438850799,0.80787143376349,0.025685573827,12.728268676481,12.7678169883
0.25,-0.00054424243244158,-2.2546654037502e-07,0.24588495199193,0,0,0,0.00054424248200329,0.8664928855692,0.025689118268783,12.728306745266,12.772599038983
0.275,-0.00059797409360273,-2.4770576659113e-07,0.18113217470215,0,0,0,0.00059797414776679,0.93124568515216,0.025692676981607,12.728344724769,12.778187719968
0.3,-0.00065157914148964,-2.6993828649841e-07,0.11024804742251,0,0,0,0.00065157920026412,1.0021298327008,0.12032448706078,12.728382614858,12.784675137165
0.325,0.016202312266767,0.00086144555551331,0.11053596146255,0,0,0,0.017527485374262,1.0190081946974,0.67790850193042,12.717080154509,12.773395477778
0.35,0.036993218736006,-0.00011157800051003,0.10904031629095,0,0,0,0.038341148354458,1.0398755261303,0.96536627925131,12.701711781072,12.758235486254
0.375,0.050234966664568,-0.0012478617524411,0.12034479109299,0,0,0,0.051631559520727,1.05732333916,1.2784493486568,12.691565474658,12.747075365398
0.4,0.06062083844537,-0.0023306897318368,0.12721448320686,0,0,0,0.062073726397397,1.0698225998909,1.3685547289141,12.683475580888,12.738381743372
0.425,0.069642912931177,-0.0033602880533349,0.12886021646611,0,0,0,0.071154359675483,1.0790511609213,1.4477220190516,12.676387648267,12.731171762794
0.45,0.077302422802557,-0.0043083959058111,0.1253069217632,0,0,0,0.078872325726827,1.0875478016231,1.5149901640889,12.670319628569,12.725459800049
0.475,0.083651109579752,-0.0051487107793456,0.11644854770297,0,0,0,0.085276383259486,1.0984786178723,1.5668918013435,12.665252751165,12.721242020576
0.5,0.086588324800915,-0.0051739144358441,0.10825762622635,0,0,0,0.088213706612428,1.107180288006,1.9883104959998,12.663167218398,12.719936046612
0.525,0.085381451838021,-0.0051334904625747,0.10871514551698,0,0,0,0.089421256382077,1.1084716052976,2.0731322948608,12.664045458843,12.720767201943
0.55,0.085515903369681,-0.0052344159313775,0.10894901929263,0,0,0,0.089589372903035,1.1087596332607,2.5005736191634,12.663879130086,12.720579555454
0.575,0.086956636452954,-0.0055039189530348,0.10898464916252,0,0,0,0.091055095829074,1.1102257891813,2.6138342044189,12.662673562579,12.719376001508
0.6,0.089732736855069,-0.0059570188338522,0.1088338613596,0,0,0,0.093867929443887,1.1130426615437,2.7209060185569,12.660397776047,12.717124587696
0.625,0.093849391564506,-0.0066286448550727,0.10847751839295,0,0,0,0.098039011738581,1.1172289376716,2.8200413396048,12.657023622941,12.713799123396
0.65,0.099161920470514,-0.0075231475156616,0.10838197428755,0,0,0,0.10342632075023,1.1226170938556,2.901929955672,12.652650254412,12.709454314366
0.675,0.10225424615617,-0.0082288066410655,0.10823294895697,0,0,0,0.10659813930548,1.1257924113983,2.9785013153988,12.649973466129,12.706803570077
0.7,0.10391141883081,-0.0085522164860951,0.10799053084541,0,0,0,0.10828657503166,1.1274981610112,3.0721950995668,12.648577994686,12.705437246799
0.725,0.10605935108386,-0.0090325429543147,0.10795312882234,0,0,0,0.11048755810287,1.1296994618519,3.1224032936241,12.646725903573,12.70359698043
0.75,0.10787273369374,-0.0094605580365454,0.10791808773621,0,0,0,0.11235076861176,1.1315630018376,3.1704213721307,12.645146372331,12.702027833707
0.775,0.10972146026012,-0.0098960098031561,0.10789863481965,0,0,0,0.11425008642568,1.1334624192678,3.2060447534628,12.643536778477,12.700427287913
0.8,0.11152192034124,-0.01032806457896,0.10788191110558,0,0,0,0.11610166084574,1.1353140692119,3.2498656795857,12.641963616427,12.698862754934
0.825,0.11325104892796,-0.010765740379992,0.1078738651668,0,0,0,0.1178853216252,1.1370977481386,3.2943619640979,12.64043668129,12.697343423178
0.85,0.11500308324897,-0.011214323614044,0.10786420763908,0,0,0,0.11969387109367,1.1389063233921,3.3464631988855,12.638885953543,12.695800559731
0.875,0.11675112982672,-0.011667886425115,0.10785461698146,0,0,0,0.12149980189566,1.1407122796602,3.4045677090317,12.637334555726,12.694257024817
0.9,0.11845858323924,-0.012137209722536,0.1078464619573,0,0,0,0.12327058181237,1.1424830783551,3.4701343723814,12.635800547432,12.692730667533
0.925,0.12016039283343,-0.012617170076864,0.1078368673984,0,0,0,0.12503877802223,1.1442513005957,3.5455264095519,12.634263001086,12.691200926126
0.95,0.1218854337913,-0.013112205278386,0.10782682124522,0,0,0,0.12683344405164,1.146045994743,3.6288560618659,12.63269846413,12.689644359862
0.975,0.12362100261906,-0.013621925883637,0.10781520854652,0,0,0,0.12864231503965,1.1478549030066,3.7203558251686,12.631116142135,12.688070238623
1,0.12532646204013,-0.014132533561364,0.10780572873746,0,0,0,0.13042257121152,1.1496351844181,3.8227919633933,12.629554407411,12.68651641238
1.025,0.12701810766963,-0.014652548574954,0.10779529636509,0,0,0,0.13219233971338,1.1514049836679,3.9071182236201,12.627995742969,12.684965734755
1.05,0.1287559169234,-0.015185268839024,0.10778429994447,0,0,0,0.13400996780577,1.1532226450235,4.03535549916,12.626395658889,12.683373878935
1.075,0.13046782520452,-0.015720464094364,0.10777251855125,0,0,0,0.13580358535818,1.1550163012685,4.2014351572318,12.624812069058,12.681798519659
1.1,0.13215948696134,-0.016270452150736,0.10776201777876,0,0,0,0.13758240697983,1.1567951538841,4.3542901807757,12.623232230835,12.680226775906
1.125,0.13384896746185,-0.016834870326666,0.10774851311211,0,0,0,0.13936367401172,1.158576472108,4.4604024170243,12.621643707487,12.678646672624
1.15,0.13557032401708,-0.017416617652831,0.10773828365903,0,0,0,0.14118067658236,1.1603935034736,4.5622839320326,12.620020511127,12.677031744112
1.175,0.13726878541084,-0.018014974466694,0.10772599517972,0,0,0,0.14298145474271,1.1621943235616,4.6585283491126,12.618401625442,12.675421304087
1.2,0.13894963323957,-0.018601347453206,0.10771120425907,0,0,0,0.14476164650279,1.1639745767667,4.7499957740978,12.616803690247,12.673831959572
1.225,0.1406292384697,-0.01920381374583,0.10769962728281,0,0,0,0.14654603417447,1.1657590019932,4.8343616720142,12.615195219627,12.67223182464
1.25,0.14230635227675,-0.019813483978968,0.10768746717956,0,0,0,0.1483305252826,1.1675435345323,4.9106710721531,12.613583417072,12.670628430167
1.275,0.14398761245356,-0.020429493903596,0.10767369894451,0,0,0,0.15012108497425,1.1693341471576,4.9809053557893,12.61196423569,12.669017844687
1.3,0.14566722976452,-0.021059054723928,0.1076630481151,0,0,0,0.15191481325294,1.1711279070573,5.0434393972627,12.610336605532,12.667398555135
1.325,0.14734620255876,-0.021691242489047,0.10764839234638,0,0,0,0.15370886202991,1.1729220156955,5.1013843511012,12.608707602389,12.665778280693
1.35,0.14902839339135,-0.022330761026791,0.1076361757659,0,0,0,0.15550851476235,1.1747217098924,5.1553046074341,12.607071164446,12.664150375893
1.375,0.15066480016063,-0.022971009292627,0.1076302823654,0,0,0,0.15726571280368,1.1764789178165,5.2083253093952,12.605466392765,12.662553397053
1.4,0.15215420797394,-0.023570109547259,0.10764446184328,0,0,0,0.15887109648039,1.1780843641118,5.2636174423238,12.603994158111,12.661086455435
1.425,0.15364341164663,-0.02417830662447,0.10765917616746,0,0,0,0.16047970807537,1.179693043003,5.3231067692275,12.602515620287,12.659613189581
1.45,0.15512892866999,-0.024794209040103,0.10767421438151,0,0,0,0.16208784258848,1.1813012478283,5.3856511489349,12.601034213847,12.658137038567
1.475,0.15661414608,-0.025412836899067,0.10768956675181,0,0,0,0.1636967463093,1.1829102247946,5.4549626938603,12.599551107457,12.656659166709
1.5,0.15810105684435,-0.026034493696849,0.10770197381646,0,0,0,0.16530837926856,1.1845219055107,5.5293497486891,12.598064685867,12.655178275363
1.525,0.15958831076946,-0.026667026217546,0.10771543830406,0,0,0,0.1669245542676,1.1861381365956,5.6105550399103,12.596570306772,12.653689363382
1.55,0.16105620600491,-0.027303528982571,0.10772918080359,0,0,0,0.16852450807697,1.1877381494232,5.6989739718528,12.595086714843,12.652211164777
1.575,0.16252238253605,-0.027946153500165,0.10774239089104,0,0,0,0.17012533283037,1.1893390286808,5.7955511547162,12.593599996175,12.650729905373
1.6,0.163981433428,-0.028595367794621,0.10775397090245,0,0,0,0.17172230142912,1.1909360392638,5.8992838286581,12.592113610652,12.649249133661
1.625,0.16543823895432,-0.029249290348791,0.1077650862491,0,0,0,0.17331914113566,1.1925329176559,6.0043721717213,12.590625473122,12.647766663305
1.65,0.1668943867944,-0.029913359720618,0.10777725885904,0,0,0,0.17491956441179,1.194133387223,6.1370185251049,12.589130593816,12.646277382582
1.675,0.16836665099859,-0.030608587299127,0.10780324292603,0,0,0,0.17654772388581,1.1957617540259,6.2668241040492,12.587602230982,12.644753459338
1.7,0.16993593529232,-0.031457952005805,0.10791161301947,0,0,0,0.17833212115086,1.1975494390307,6.4036754997388,12.5858959893,12.643044637786
1.725,0.17150287333573,-0.032315062646729,0.10801896830618,0,0,0,0.18011815963943,1.1993387010686,6.524241354981,12.584185895446,12.641332078091
1.75,0.17306708893581,-0.033178514065947,0.10812492072006,0,0,0,0.18190486576996,1.2011285459532,6.64144781559,12.582473213841,12.639617075836
1.775,0.17462569703661,-0.034046289231336,0.10823120221416,0,0,0,0.18368876401526,1.2029156074255,6.7537975487244,12.58076140506,12.63790291146
1.8,0.17617797301997,-0.034918768375396,0.10833498856591,0,0,0,0.18546943259344,1.2046992980354,6.8602124371145,12.579050705576,12.636190088635
1.825,0.17772995777352,-0.035800900536787,0.10843969244048,0,0,0,0.18725459752291,1.2064875308857,6.961430979328,12.577333349832,12.634470552769
1.85,0.179281518374,-0.036688781233031,0.10854283789473,0,0,0,0.18904224190246,1.2082781484921,7.0557443830743,12.575612213192,12.632747401433
1.875,0.18083062821093,-0.037581044736453,0.10864630801058,0,0,0,0.19082994306496,1.2100688415176,7.1454863687529,12.573889690067,12.631022839331
1.9,0.18236865394556,-0.038473518352381,0.10874809903064,0,0,0,0.19260815348994,1.2118499629978,7.2290687894445,12.572174809324,12.629306044862
1.925,0.18390539574839,-0.039375810414616,0.10884936619456,0,0,0,0.19439020464918,1.213634889151,7.3009265496651,12.570453847737,12.627583247135
1.95,0.18544473990227,-0.040283073882834,0.10895058170254,0,0,0,0.19617701953182,1.215424568453,7.3664769050291,12.56872753422,12.625855126913
1.975,0.1869699223134,-0.041193714856695,0.10904995467613,0,0,0,0.19795337770812,1.2172037040179,7.4326062158372,12.567008761234,12.624134688504
2,0.18849653369597,-0.04211053909979,0.10914958663125,0,0,0,0.19973413850231,1.2189872497932,7.4991209788552,12.565284594087,12.622408856063
2.025,0.19001709306273,-0.043034804655297,0.10924788628937,0,0,0,0.20151356751324,1.2207693918829,7.5700840787782,12.563559381447,12.620682109809
2.05,0.19153653673673,-0.04396243882929,0.10934636078336,0,0,0,0.20329379621743,1.2225523420968,7.6448275858129,12.561832564588,12.618953750327
2.075,0.1930522311628,-0.044898462480104,0.10944333785934,0,0,0,0.20507521976844,1.2243364033125,7.7257730662201,12.560102410025,12.617222210921
2.1,0.19456797133246,-0.045838325738734,0.10954058828386,0,0,0,0.20685870265505,1.2261225356849,7.8121199332482,12.55836950007,12.615487902981
2.125,0.19607674882319,-0.046778177877741,0.109636681091,0,0,0,0.20863626603219,1.2279026944945,7.9013874987843,12.556641493996,12.613758587122
2.15,0.19758173593778,-0.047727633014611,0.10973220988275,0,0,0,0.21041571855249,1.2296847093716,7.9962179005902,12.554909311826,12.612025168069
2.175,0.19908574194836,-0.04868127688102,0.1098271299089,0,0,0,0.21219658090085,1.2314680995463,8.0961808338047,12.553174843857,12.610289531827
2.2,0.2005822664108,-0.049635332397195,0.10992141240072,0,0,0,0.21397135057453,1.2332453717772,8.2015375032626,12.551445340409,12.608558898625
2.225,0.20208158822643,-0.05059717400866,0.11001488368563,0,0,0,0.21575267176746,1.2350291436442,8.301300370367,12.549708336136,12.606820876102
2.25,0.20357065809117,-0.051562925242316,0.11010773630648,0,0,0,0.2175274969722,1.2368063960507,8.4407910797809,12.547975743047,12.605087304014
2.275,0.20505787893212,-0.052532318074952,0.1102000075152,0,0,0,0.21930275703589,1.2385840524488,8.5625469436937,12.546241860893,12.603352504405
2.3,0.20654342758802,-0.053506274881431,0.11029169619362,0,0,0,0.22107911473352,1.240362774879,8.6712373682094,12.544505907547,12.60161569881
2.325,0.2080184772059,-0.054482849746913,0.11038249634324,0,0,0,0.22284814549727,1.2421341343881,8.7817558068455,12.542775457714,12.599884456716
2.35,0.20949767015751,-0.055466718538784,0.11047317961102,0,0,0,0.22462466163502,1.2439129635094,8.8929887063492,12.541036912239,12.598145167232
2.375,0.2109749880064,-0.056454032804184,0.11056320074949,0,0,0,0.22640152895852,1.2456921097346,8.999885003181,12.539297234247,12.596404813791
2.4,0.21244647726489,-0.057445925872944,0.11065246879281,0,0,0,0.22817610848554,1.2474689331026,9.1038800754422,12.53755838605,12.594665358474
2.425,0.21391643793715,-0.058442683231849,0.11074113929845,0,0,0,0.22995214610072,1.2492471828233,9.2042452430857,12.535817149616,12.592923583055
2.45,0.21538753532691,-0.059444501995689,0.1108295916672,0,0,0,0.23173196866652,1.2510292019554,9.3005329208021,12.534071515967,12.591177451594
2.475,0.21684705262775,-0.060446993209165,0.11091717351019,0,0,0,0.23350261244338,1.2528020104515,9.3923915484873,12.532333528045,12.589439014481
2.5,0.21830817810458,-0.061456925405,0.1110040864439,0,0,0,0.23527880238234,1.2545803255409,9.4785382324484,12.530589114289,12.587694244816
2.525,0.21976671973081,-0.062469805293956,0.11109051701936,0,0,0,0.23705454711199,1.256358172438,9.5589199534696,12.528844417472,12.585949239772
2.55,0.22122468453662,-0.06348864663957,0.11117665128174,0,0,0,0.23883322613377,1.2581389358062,9.6354818028641,12.527095880855,12.584200441056
2.575,0.222677868975,-0.064509663085779,0.11126226440775,0,0,0,0.2406092384072,1.2599170103836,9.7077740067011,12.525349150937,12.582453490951
2.6,0.22416441271662,-0.065517291456375,0.11137564018746,0,0,0,0.24240510232993,1.2617164495452,9.7824661966749,12.523588604082,12.580690144985
2.625,0.22573634877099,-0.066504147363845,0.11154661824174,0,0,0,0.24426113776632,1.263580343597,9.8609309877394,12.521783050762,12.578876515025
2.65,0.22730880915419,-0.067497168896499,0.11171619595704,0,0,0,0.24612090211189,1.2654478231879,9.9428948053609,12.519972745882,12.577058288341
2.675,0.22887883009871,-0.068492208237159,0.11188589851069,0,0,0,0.24797968371705,1.2673143354468,10.028217093391,12.518162725073,12.57524033256
2.7,0.2304465722374,-0.069490373369036,0.11205526349027,0,0,0,0.24983821782864,1.2691805705713,10.117661312722,12.516352084922,12.573421792374
2.725,0.23201046567356,-0.070495256125175,0.11222348553483,0,0,0,0.25169712934704,1.2710470781897,10.212956787751,12.514539362076,12.571601287721
2.75,0.23357221643548,-0.071503736530692,0.11239080046492,0,0,0,0.25355618775674,1.2729136505715,10.313749721809,12.512725586827,12.569779821774
2.775,0.23513465332126,-0.072518206672617,0.11256033724368,0,0,0,0.25541907763296,1.2747842390913,10.420923433246,12.510907070057,12.567953424376
2.8,0.23669785048904,-0.073533907532928,0.11272851712216,0,0,0,0.25728327548269,1.2766560077988,10.526091344564,12.509087155488,12.566125764663
2.825,0.23825266279945,-0.074555713743161,0.11289556619489,0,0,0,0.25914379402651,1.278524010648,10.660554593793,12.507268770919,12.564299735629
2.85,0.23980356565363,-0.075580306519701,0.11306223946881,0,0,0,0.26100258127115,1.2803902555411,10.777078534377,12.505451148748,12.5624745013
2.875,0.24135082123629,-0.07661043141954,0.11322878377028,0,0,0,0.26286138657224,1.2822565069046,10.894295022279,12.503632145473,12.560647904417
2.9,0.24289478984339,-0.07764025714141,0.11339453049758,0,0,0,0.26471729068536,1.2841197975569,11.025254904666,12.501815669843,12.558823899616
2.925,0.24443652456473,-0.078672409623172,0.11355999007988,0,0,0,0.26657263019516,1.2859825003163,11.139308573422,12.499999109888,12.556999838206
2.95,0.24597640317448,-0.079709760754793,0.11372507314735,0,0,0,0.2684293271287,1.2878465217545,11.251358826373,12.498180150972,12.555173424566
2.975,0.24751499016429,-0.080750063339925,0.11388997915896,0,0,0,0.27028660454305,1.2897111057259,11.362826010676,12.496360001217,12.55334584235
3,0.2490483172489,-0.081796905166405,0.11405436457738,0,0,0,0.27214320621225,1.2915749706148,11.473332833962,12.494538878828,12.55151734147
3.025,0.25058105745611,-0.082845744107086,0.11421807989888,0,0,0,0.27400045031745,1.2934394164769,11.586196447014,12.492716752394,12.549687904888
3.05,0.25211254967941,-0.083898460345635,0.11438185300122,0,0,0,0.27585885821372,1.295305026709,11.692543327546,12.490892742671,12.547856588077
3.075,0.25364079619531,-0.08495538435401,0.11454540777419,0,0,0,0.27771698247567,1.2971703352455,11.795376389974,12.489068012503,12.546024574881
3.1,0.25516798977226,-0.08601154072456,0.11470862020069,0,0,0,0.27957380408814,1.2990343161458,11.895239284543,12.487244577536,12.544193883598
3.125,0.25669314811713,-0.087070781636902,0.11487158085925,0,0,0,0.28143070992509,1.3008983589199,11.990230512736,12.485420375692,12.542362452893
3.15,0.25821621969633,-0.088133370245927,0.11503424311507,0,0,0,0.28328781562682,1.3027625747328,12.079059891183,12.483595254898,12.540530135824
3.175,0.25973719418395,-0.08919927738349,0.11519659668877,0,0,0,0.28514510435448,1.3046269459675,12.158182167714,12.481769242896,12.538696960986
3.2,0.26125608900664,-0.090268451420448,0.1153586432871,0,0,0,0.28700256891772,1.3064914656653,12.233121220301,12.479942364037,12.536862952456
3.225,0.26277292213828,-0.091340852008258,0.11552038643022,0,0,0,0.28886020875633,1.3083561336289,12.304836768747,12.478114634239,12.535028125749
3.25,0.26428771324032,-0.092416433323114,0.11568183019806,0,0,0,0.29071802124624,1.3102209476512,12.377835666977,12.47628607216,12.533192499048
3.275,0.26580048526189,-0.09349515656606,0.11584297895188,0,0,0,0.29257601021933,1.3120859119793,12.452729636504,12.474456689145,12.531356083235
3.3,0.2673112498545,-0.094577011701789,0.11600385732453,0,0,0,0.29443418679571,1.3139510398676,12.529841420382,12.472626483922,12.529518874699
3.325,0.26882005929668,-0.095662132369965,0.11616451789596,0,0,0,0.29629267887191,1.3158164633092,12.610080654516,12.47079532419,12.527680736737
3.35,0.27032701931588,-0.096751049787728,0.11632480232063,0,0,0,0.29815189097444,1.317682571757,12.693577043944,12.468962756346,12.525841232878
3.375,0.27183892737365,-0.097847730858782,0.11648508521311,0,0,0,0.30001966380504,1.3195572093093,12.781750776069,12.467121188658,12.523992770208
3.4,0.27334602306502,-0.098946629635781,0.11664545722787,0,0,0,0.3018848490358,1.3214292763829,12.873746888981,12.465281414201,12.522146084161
3.425,0.27485135605878,-0.10004605376903,0.11680541632841,0,0,0,0.30374892007706,1.3233001980169,12.970018540041,12.463442506142,12.520300299903
3.45,0.27635266031623,-0.10115030395908,0.11696473452155,0,0,0,0.30561259466123,1.3251706699473,13.070022198485,12.461602979549,12.518453960952
3.475,0.27785400553567,-0.10225405041242,0.11712417078818,0,0,0,0.3074760038222,1.3270408874813,13.175337507787,12.459763791186,12.516607947477
3.5,0.2793521416195,-0.10335903544523,0.11728279177139,0,0,0,0.309337563289,1.3289091926664,13.283334091336,12.457925971929,12.514763374524
