Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,15.469427,18.041784,167.875000,1757.365331
2,0.000000,0.000000,31.587313,37.055957,1000.025000,7504.037584
3,1.000000,1.000000,12.287468,13.331783,163.325000,380.420359
4,0.000000,0.059424,26.514899,30.640873,1000.025000,6575.672327
5,1.000000,1.000000,16.843142,19.023203,138.250000,1796.921164
6,1.000000,1.000000,12.288561,15.193020,102.250000,1470.365115
7,1.000000,1.000000,15.094886,20.082646,133.475000,2179.919488
8,0.000000,0.572445,49.757667,61.230681,1000.025000,9167.424340
9,1.000000,1.000000,12.421940,16.911430,73.100000,1562.199833
10,1.000000,1.000000,12.364444,14.095194,167.825000,1105.839025
11,1.000000,1.000000,12.468789,16.200118,66.825000,1917.729148
12,0.000000,0.834711,81.378698,87.703191,1000.025000,164476740.663482
13,0.000000,0.736041,50.217323,54.862973,1000.025000,6007.355253
14,0.000000,0.033239,17.504581,60.817464,47.075000,455.272918
15,1.000000,1.000000,12.415982,13.738571,165.675000,631.705453
16,1.000000,1.000000,12.265023,20.335555,184.050000,2487.447446
17,0.000000,0.140324,45.413599,55.592515,1000.025000,8863.070651
18,1.000000,1.000000,12.285195,13.714394,162.900000,578.258362
19,1.000000,1.000000,67.719234,88.736472,699.300000,18042.116179
20,0.000000,0.702680,33.341674,38.942648,1000.025000,8118.788671
21,1.000000,1.000000,13.288153,17.214567,127.400000,1760.135060
22,1.000000,1.000000,25.660951,30.742852,233.550000,4109.840306
23,0.000000,0.538603,41.597039,50.961300,1000.025000,8100.893595
24,1.000000,1.000000,13.841278,15.878148,163.950000,1589.435181
25,1.000000,1.000000,12.719022,14.907071,161.900000,1263.311098
26,1.000000,1.000000,12.315302,13.685058,163.450000,382.656536
27,0.000000,0.003150,5.782445,58.175716,6.000000,204.087610
28,1.000000,1.000000,22.109877,25.806842,223.325000,2829.220478
29,0.000000,0.954584,21.720569,68.746071,173.225000,1547.533720
30,1.000000,1.000000,12.302705,13.214177,162.975000,311.452101
31,0.000000,0.718322,109.494982,136.837492,1000.025000,22020.487740
32,1.000000,1.000000,13.070554,18.544345,107.050000,1926.934226
33,0.000000,0.320474,55.237510,96.908604,391.575000,6803.586763
34,1.000000,1.000000,12.304623,13.006477,163.300000,448.922717
35,1.000000,1.000000,12.299486,13.226368,162.800000,278.567562
36,0.000000,0.141793,43.925364,52.983783,1000.025000,9028.659872
37,1.000000,1.000000,12.263937,13.050368,164.100000,717.159551
38,1.000000,1.000000,18.823467,27.965164,109.525000,2534.144345
39,1.000000,1.000000,12.415513,14.335833,167.000000,717.666880
40,1.000000,1.000000,13.029013,14.341540,158.325000,1218.284649
41,0.000000,0.409948,19.427048,26.560536,1000.025000,6590.935174
42,0.000000,0.729684,56.833258,70.603619,1000.025000,10394.993698
43,1.000000,1.000000,12.298145,13.576832,163.100000,423.080091
44,0.000000,0.337738,35.241805,40.972240,1000.025000,4539.974032
45,1.000000,1.000000,15.013559,20.281270,151.600000,2580.666835
46,1.000000,1.000000,18.357655,26.003547,160.600000,2726.682646
47,1.000000,1.000000,12.321672,14.069136,163.700000,492.892503
48,1.000000,1.000000,12.259376,16.775265,115.975000,2509.074911
49,1.000000,1.000000,12.293281,13.010169,164.100000,566.304122
50,1.000000,1.000000,12.329052,13.531561,164.800000,575.749853
