Time,X,Y,Z,tau_environment,KSSS,K_s,journey_2,journey_3,power_sekibun,distance_2,distance_3
0,0,0,-0.18489258012293,0,0,0,0,0.18489258012293,0,12.727922061358,12.77459116838
0.025,-7.5283604429582e-06,0.00011171277732899,-0.18821728517243,0,0,0,0.00011196615930501,0.18821916998147,0.05891501453166,12.728006377788,12.774391677445
0.05,-2.8024871137923e-05,0.00027581179329788,-0.19767245037665,0,0,0,0.00027734026245489,0.19767578130018,0.061213073490772,12.72813690753,12.773720190024
0.075,-8.002926196686e-05,0.00026244808944832,-0.21325695465701,0,0,0,0.00033103425882383,0.21326037807745,0.07653848254212,12.728164230069,12.772441438417
0.1,-0.00016506975072177,-6.0474354434809e-05,-0.23496688698729,0,0,0,0.0006649665715627,0.23497287845338,0.096658159861505,12.727996022471,12.770485982286
0.125,-0.00028499106493503,-0.0007002635358189,-0.26280107859371,0,0,0,0.001315897687902,0.26281468036527,0.13587988762359,12.727628438445,12.767881023246
0.15,-0.00044237793726306,-0.0016779659640223,-0.29675988022385,0,0,0,0.0023061868707653,0.29678791807999,0.18351259887312,12.727048456998,12.76465323445
0.175,-0.00064850638640509,-0.0029548043761414,-0.33684252353549,0,0,0,0.0035995566045261,0.3368914229158,0.22046343373369,12.726291517469,12.760886468023
0.2,-0.00093488177749961,-0.0043580583308558,-0.38305406753536,0,0,0,0.0050317341514965,0.38312515444786,0.26368594819183,12.725502060379,12.756781735617
0.225,-0.0013379317858983,-0.0055851935512611,-0.43541318759874,0,0,0,0.0063233649650146,0.43550020350722,0.28579346864446,12.724919735412,12.752643243821
0.25,-0.0018623078878737,-0.0065023782334341,-0.49393249806504,0,0,0,0.0073798677040246,0.49402905020257,0.32901951992127,12.724642410806,12.748643587395
0.275,-0.0024025585766882,-0.0073761825417335,-0.55858949873257,0,0,0,0.0084071966561948,0.5586942119212,0.36883925815513,12.724407056872,12.744606386211
0.3,-0.0026677818239715,-0.0085476697317465,-0.62953010950666,0,0,0,0.0096083317890021,0.62964499051178,0.7120851759951,12.72376682423,12.740171369313
0.325,0.0066870684931996,-0.015604727246162,-0.64856873349713,0,0,0,0.021326492276828,0.65200085078753,1.6282816164075,12.712160945374,12.727627931364
0.35,0.012859487120553,-0.020239187668373,-0.6465549148359,0,0,0,0.029045104530099,0.65997784525391,2.3502417516816,12.704518835632,12.720094583145
0.375,0.015647652450002,-0.021924902827777,-0.64596713321014,0,0,0,0.032303248403992,0.6632885836523,2.9713616578681,12.701355028318,12.716963750505
0.4,0.016446392203183,-0.020122239426757,-0.64747522884174,0,0,0,0.034274943241103,0.6657709077578,3.4959760565748,12.702064399892,12.717597647916
0.425,0.016168502716352,-0.015486926847369,-0.65072737314499,0,0,0,0.038918578161672,0.67144010415982,4.1297376868138,12.705538301593,12.720907079279
0.45,0.013090388144152,-0.014984654999371,-0.65048227991343,0,0,0,0.042037402672425,0.67456854418978,5.0162163882747,12.708070078559,12.723447842184
0.475,0.012677222053129,-0.014852508059198,-0.65038909051697,0,0,0,0.042471187218679,0.6750122257154,5.9823483979507,12.708455695596,12.723837573679
0.5,0.013426580783012,-0.014835286260301,-0.65041037606413,0,0,0,0.043220743818549,0.67576208448272,6.943166461103,12.707937942562,12.72331940024
0.525,0.015617114684399,-0.015247348111786,-0.6505443690721,0,0,0,0.045449697326941,0.6779950618379,7.69866289885,12.706097593107,12.721474689045
0.55,0.018817701875431,-0.015753577232608,-0.65074919299063,0,0,0,0.048690071732804,0.68124190324576,8.2878446237819,12.703476660236,12.718846856695
