Time,X,Y,Z,tau_environment,KSSS,K_s,journey_2,journey_3,power_sekibun,distance_2,distance_3
0,0,0,0.24711006687497,1.9149945342277e-16,5,0.247,0,0.24711006687497,0,12.727922061358,12.795523668695
0.025,0.0011453431361841,2.4787126551373e-06,0.24280647583359,0.090005737379986,5,0.318295,0.0011453458183538,0.25156346028843,0.058313926451473,12.727113960054,12.794278730148
0.05,0.0015394862409141,0.00067597228126662,0.23243760374622,0.047725223604886,5,0.36511205,0.0019256934165222,0.26196165487876,0.064940566472513,12.727311561193,12.79341841132
0.075,-2.875422064211e-05,0.001501353781362,0.21546829186239,0.018808123497304,5,0.399873709625,0.0036978764674404,0.27902325441035,0.075217648304528,12.729004053693,12.793390674574
0.1,-0.00095686022948954,0.0016996487953097,0.19171357197793,0.022410248139822,5,0.42747446736725,0.0046469295092748,0.30279692510854,0.086485692477664,12.729800507739,12.791824851908
0.125,-0.0010130822361372,0.0016046133338173,0.16106915208771,0.0058155410803704,5,0.4910045140365,0.0047573498560074,0.33344154393568,0.097505824242456,12.729773058518,12.788819813419
0.15,-0.00080772709779653,0.0013772061495008,0.12369798340223,0.00078179127873921,5,0.53834138975958,0.005063756057514,0.37081396871223,0.10713749359564,12.729467048843,12.784982237019
0.175,-0.00088477049030878,0.0011127120924801,0.079872911473049,0.0049559756575552,5,0.58103038937293,0.0053392425191216,0.41463990649328,0.11565235883522,12.729334495858,12.780845066972
0.2,-0.0012121593211256,0.00089716748931362,0.029831958027944,0.0089635098223207,5,0.62291854721128,0.0057312156336305,0.46468239508665,0.12401413182676,12.729413582598,12.776532883625
0.225,-0.0015216421057715,0.00075229117010254,-0.026257308442279,0.013952601605239,5,0.66618924570302,0.0060729300492766,0.520772702466,0.1334630901533,12.729529986622,12.771958477684
0.25,-0.0017015167975879,0.00065192794100802,-0.088273560591531,0.013421883205315,5,0.71249991270016,0.0062789098602055,0.58278929668337,0.1435833968663,12.729586219727,12.767113376846
0.275,-0.0012946433102778,0.01255536619506,-0.13724626690088,6.9882672101205,5,0.75547002004091,0.018189299790964,0.63318952834518,0.34835660003582,12.737717985747,12.771564864676
0.3,-0.003477729639614,0.028484060863125,-0.15012941264462,9.4575146069191,5,0.79759297431549,0.03426689848448,0.65379206760626,0.76612866632061,12.750534720763,12.783417745385
0.325,-0.012180928312957,0.03460337944376,-0.1542444897728,1.6003816706596,5,0.83960611579435,0.044906058556544,0.66519932787373,0.85757123012755,12.761013412284,12.79357543513
0.35,-0.02800648942437,0.037118189722952,-0.14698872099939,0.23890538709194,5,0.88164350409947,0.060930185841092,0.68278963303665,1.3667123669876,12.773973788454,12.807021727428
0.375,-0.047253713632368,0.038303764145356,-0.14441853154024,0.26391282116217,5,0.92344163022838,0.080213889490132,0.70224386394614,1.965240471285,12.788421899977,12.821617168992
0.4,-0.071153547166425,0.040482036282358,-0.15225856767853,0.38826093792092,5,0.96436432342885,0.1042127834742,0.72749090494322,2.1429704705443,12.80687870344,12.839465654427
0.425,-0.095941180810607,0.043192013376904,-0.16572532193497,0.24824516811742,5,1.0048898182861,0.12914811498455,0.75583035143984,2.6782230263451,12.826358320099,12.857945521638
0.45,-0.11682170119528,0.047556934799982,-0.17775630142015,4.9151061883993,5,1.0451054060164,0.15047998481737,0.78032102594948,4.7497496298917,12.844248690361,12.874955975651
0.475,-0.1359120818306,0.05461634316002,-0.17982558388401,1.6588193132038,5,1.0849722683195,0.17083380212998,0.80077976024831,5.667456232053,12.862774455333,12.893295158005
0.5,-0.15504108526206,0.062130427753135,-0.17850004035009,0.34388283291138,100,1.6944180485782,0.19138569351626,0.82137435432573,6.7204340533527,12.881653044639,12.91222021058
0.525,-0.17646953501423,0.068527983026781,-0.18013230125756,0.30969157111283,100,2.413987473738,0.21374876960745,0.84379691992226,7.4345528584758,12.901387247346,12.931795794081
0.55,-0.19547816411749,0.07406866958799,-0.18841676117999,0.070666897274052,100,3.265214364898,0.23354844606832,0.86525989884322,8.3810563157499,12.918805706688,12.948608953677
0.575,-0.20388271945336,0.079207276327193,-0.20116146597018,0.16997928470327,100,4.2737173269407,0.24339942721813,0.88136795055045,8.5177906882643,12.928397498529,12.957321360661
0.6,-0.20986156681089,0.084327104112239,-0.21760234018573,11.270596511909,100,5.4700680396,0.25127084718362,0.89959599480223,8.7864141702896,12.936249418372,12.964068892776
0.625,-0.21666750039264,0.088859109024271,-0.22333255768055,6.5678255710784,100,6.3207766192285,0.25944763141961,0.90958074282007,9.2582465107942,12.944277489164,12.971706044012
0.65,-0.22839384836943,0.08923873347649,-0.22561535892616,4.9712635841289,100,7.2182901819346,0.27118012269799,0.92153325440234,9.607222571234,12.952895960933,12.980158228893
0.675,-0.24124361964667,0.086134690876805,-0.22295887933363,2.800111560576,100,8.1503249073248,0.28439949115258,0.93501689583052,10.665616124303,12.959877594268,12.987297466343
0.7,-0.25161390323592,0.088744353992237,-0.21634257602845,2.5699117053418,100,9.0980363525555,0.29509309313216,0.94759181502405,11.122903385968,12.969103043263,12.996934533123
0.725,-0.26231996297168,0.093292481272315,-0.21353869041516,2.9893973290297,100,10.033954243525,0.30672516847671,0.95955705431768,12.099253081282,12.979928322084,13.007920194927
0.75,-0.26933765902355,0.096570466821024,-0.2171635586644,3.0782615792745,100,10.919348167086,0.31447069926123,0.96810883290218,12.662518505719,12.987232765098,13.01497188788
0.775,-0.27240776631259,0.099885890575519,-0.22721794588471,2.0873874987786,100,11.811471047371,0.31898928238408,0.97913191304404,13.387452201606,12.991746187725,13.018823696588
0.8,-0.27187342083069,0.10290695643737,-0.24316469844696,1.5784998171407,100,12.702548135265,0.32205724001671,0.99537110271956,13.909542727972,12.993481126683,13.019536921266
0.825,-0.2733033901338,0.10717693112789,-0.24688314632742,2.9764126304387,100,13.585679441486,0.32656029409872,1.0012109957584,14.372620330508,12.997493120611,13.023306356485
0.85,-0.27660856338732,0.1092358963702,-0.24747705775589,1.5067590773296,100,14.456282200738,0.33045432903755,1.0051500614966,14.776728851137,13.001293976141,13.027062329913
0.875,-0.27766437804569,0.10909820033379,-0.24759567415116,0.11028608974018,100,15.314213824438,0.33151908478009,1.0062214039444,15.23560527554,13.001950866504,13.02771046487
0.9,-0.28246418419594,0.10554632072143,-0.24749203000238,2.4452344500494,100,16.166817761964,0.33749018081522,1.0121933994208,15.575347387905,13.002888722499,13.028652981016
0.925,-0.2881329280185,0.10356753708597,-0.24963010099877,2.7681835353778,100,17.011755024595,0.3434943661223,1.0185669062097,16.49932831244,13.005550937612,13.031175740301
0.95,-0.28973651934117,0.10538300755649,-0.25196725116696,4.9278939435153,100,17.847741161125,0.34591664566015,1.0219328695292,17.461877713576,13.007966955412,13.033440747656
0.975,-0.28721762537245,0.10590111700086,-0.251605750559,4.948096920681,100,18.674581134735,0.34848827242584,1.0245297805618,17.961834862483,13.006530912339,13.032030109773
1,-0.28510337234331,0.10584904138717,-0.25113605003244,4.8226234545686,100,19.49293112793,0.35060316668815,1.0266962053414,18.559119748906,13.004984867336,13.030516470546
1.025,-0.28251113455928,0.10601589050096,-0.25054129293899,3.7753928771617,100,20.303602284807,0.35320076853519,1.0293610264153,19.151801973391,13.003251068916,13.028823301652
1.05,-0.27992084109938,0.10620794155879,-0.24996344352851,3.3649111359458,100,21.106138482239,0.3557981718187,1.0320219311032,19.698008794644,13.00153659734,13.027148399739
1.075,-0.27757325762391,0.10630522759688,-0.24940094680315,3.4710246254193,100,21.900448873022,0.35814777024131,1.034437922683,20.165711491075,12.999929247836,13.025579481849
1.1,-0.27530294601645,0.10640589253803,-0.24885923288868,5.0860353093515,100,22.68667416913,0.36042031247972,1.0367741380392,20.639844181328,12.998379630555,13.024066911322
1.125,-0.27336708734471,0.10647531076781,-0.24838527879728,3.8416784054708,100,23.465020217803,0.36235741539066,1.0387683797919,21.048982318815,12.997046961609,13.022766635142
1.15,-0.27236168403155,0.10645343434882,-0.24809070653283,2.1317648549122,100,24.235605501238,0.3633630566785,1.0398162763607,21.516776082082,12.996314298733,13.02205392803
1.175,-0.27163565923386,0.10640336278692,-0.24786257240159,2.3763660507168,100,24.998414125226,0.36409080606405,1.0405789455878,22.047765715566,12.995761232162,13.021516294095
1.2,-0.27051880409333,0.1060677663303,-0.24730028432638,5.4727596485201,100,25.753515599965,0.36525699232132,1.0418736108983,22.555083607284,12.99472928006,13.020521745695
1.225,-0.26881810271052,0.10607944742567,-0.24695145035946,11.28087331688,100,26.501010544992,0.36695773381886,1.0436097580055,23.188776607338,12.993524230322,13.019341035723
1.25,-0.26684447479011,0.10603880005095,-0.2464058089927,10.647057153235,100,27.24099180191,0.36893178026646,1.0456578263341,23.75329470659,12.992087944129,13.017941958119
1.275,-0.26470119942943,0.10601730180726,-0.24583589811256,7.7980540993104,100,27.973530289226,0.3710751634441,1.0478756833758,24.249625100999,12.990544230921,13.01643722819
1.3,-0.26252692320176,0.10603125315348,-0.24527450571812,7.2884462010033,100,28.698687698096,0.37324948443106,1.0501213087174,24.747530228832,12.989003433152,13.014934904505
1.325,-0.26032993933894,0.10600044476669,-0.24467409193416,6.612774273858,100,29.416540771233,0.37544668429683,1.0523990672564,25.282175636295,12.987415242669,13.013387779966
1.35,-0.25817178149763,0.10592730857454,-0.24407065581315,7.8511170547016,100,30.127167654459,0.37760608101134,1.0546411933284,25.75618102316,12.985825229255,13.011839064761
1.375,-0.25601557458354,0.10590573189334,-0.24349801810585,7.289887920366,100,30.830642133695,0.37976239587924,1.0568722486288,26.196081616065,12.984272929782,13.010326077779
1.4,-0.25380355910037,0.10579705259857,-0.24284662119294,5.9151632883948,100,31.527034298062,0.38197707953315,1.0591807419957,26.653048115771,12.982619931028,13.008717614073
1.425,-0.25190917334187,0.10551274590238,-0.24206415767768,4.2753261380276,100,32.216414075776,0.38389268066583,1.0612499874747,27.222011338918,12.981070283977,13.00722064431
1.45,-0.25005687380689,0.10555424713772,-0.24174478184607,7.9197702560094,100,32.898852993045,0.38574544506526,1.0631300770581,27.712069444848,12.979779286114,13.00595248972
1.475,-0.24784421488248,0.10546688944979,-0.24112668225086,7.21192650755,100,33.574421564077,0.38795982779673,1.0654291068515,28.160391510906,12.978141234306,13.004356947637
1.5,-0.24550267902772,0.10530568238232,-0.24043308481705,6.8990723916416,100,34.243188822543,0.39030690638035,1.0678765249355,28.602558061882,12.976359711319,13.00262305996
1.525,-0.24323956574541,0.10514966702267,-0.2397633964206,6.7881321710409,100,34.90522288018,0.39257539101134,1.0702417955478,29.055656450505,12.974637880444,13.000947273168
1.55,-0.24110566807944,0.10500933346373,-0.23912902696119,4.1845783965401,100,35.56059146511,0.39471389814404,1.0724724092229,29.532532253105,12.973019268122,12.999372294353
1.575,-0.23921607075839,0.10488454997307,-0.23855035016709,1.8241968574205,100,36.209361878641,0.39660761115166,1.0744525647186,30.051566728736,12.971585726907,12.997978505067
1.6,-0.23754022992985,0.10475036836511,-0.23803192871779,0.065162251677545,100,36.851600602447,0.39828881523997,1.0762118850378,30.619511540456,12.970297944528,12.996726371767
1.625,-0.23581641106421,0.10466276016161,-0.23752286356976,0.063624956856646,100,37.487373335891,0.40001485888914,1.0780114333155,31.243639086119,12.969008780749,12.99547229073
1.65,-0.23399585357234,0.10451008969555,-0.23694699283282,0.25894284199385,100,38.11674513148,0.40184180657652,1.0799269919699,31.84131357123,12.967605152732,12.994108270149
1.675,-0.23206804655236,0.10427917831432,-0.23631181092568,1.5056171770387,100,38.739780448233,0.40378339354914,1.0819698370515,32.431258252946,12.966070328857,12.992617145106
1.7,-0.23003734530254,0.10405218701609,-0.23565329502168,0.27802983124113,100,39.356543110958,0.40582674193243,1.0841166756135,33.028117735425,12.964465111203,12.991057303815
1.725,-0.22801014307869,0.10383053071385,-0.23500063892296,0.42297666634985,100,39.967096270028,0.40786602621196,1.0862578529429,33.550213868694,12.962866254526,12.989503479817
1.75,-0.22616167617069,0.1036186887734,-0.23439264426818,0.26312098100955,100,40.571502429538,0.40972659250148,1.0882152400834,34.121826575498,12.961401641236,12.988080805937
1.775,-0.22441209629247,0.103390262478,-0.23380617800248,1.0849953401053,100,41.169823473706,0.41149102111231,1.0900745816345,34.627321351636,12.959995863935,12.986715504473
1.8,-0.22284024001962,0.1031240834741,-0.23324072187382,0.63505546042932,100,41.762120672098,0.41308525553817,1.0917661265017,35.163674066204,12.958690141062,12.985448738251
1.825,-0.22121362376129,0.10285471135307,-0.23265229260189,0.17936678909941,100,42.348454675528,0.41473402531939,1.0935167523326,35.726681902896,12.957343269013,12.984142415351
1.85,-0.21953122165202,0.10255960364837,-0.23204222685954,0.61033984876534,100,42.928885519054,0.41644211355324,1.0953305179251,36.289380764566,12.955938687914,12.982779928218
1.875,-0.21770705906497,0.10219301955853,-0.2313555400347,0.85227238117961,100,43.503472633365,0.41830274598307,1.0973138211884,36.851707017461,12.954383088053,12.981271701548
1.9,-0.21574109733986,0.10176563815618,-0.23061255468343,1.0692038964709,100,44.072274852908,0.42031462579252,1.0994585094175,37.379660103288,12.952683957587,12.979623914908
1.925,-0.21381943459198,0.10138899483983,-0.22990705394551,0.58268769247704,100,44.635350420473,0.42227285149564,1.1015399462278,37.896148002893,12.951052088871,12.978040889672
1.95,-0.21193590039448,0.10098005647034,-0.2291928656477,0.016952107307204,100,45.192756991657,0.42420026729489,1.103595425877,38.397713485115,12.949424737078,12.976462982931
1.975,-0.21003684164316,0.10058155734832,-0.22847994968461,0.3095510074356,100,45.744551640987,0.42614068624223,1.1056626643397,38.849938606221,12.947793762119,12.974881429942
2,-0.20837126205082,0.10022944512959,-0.22784411574631,0.66754214809315,100,46.290790868642,0.42784307820444,1.1074799213908,39.308052656625,12.946361544997,12.973493287681
2.025,-0.20679851071142,0.099917064905327,-0.22725365314107,1.0888397606844,100,46.831530606285,0.42944655198972,1.1091886560889,39.809395712664,12.945023345093,12.972196071208
2.05,-0.20507670833055,0.099571536410941,-0.22660655504352,1.2011043386386,100,47.36682622244,0.43120268221815,1.1110602140834,40.336062126163,12.943555900621,12.97077358348
2.075,-0.2032315946828,0.099140880290838,-0.22589244956403,0.84379113491903,100,47.896732528022,0.43309738775382,1.1130850241246,40.879047382317,12.941940988304,12.969208322871
2.1,-0.20135021161271,0.098719887226313,-0.22517097340185,0.97088422841549,100,48.421303782077,0.43502529787019,1.1151435102842,41.386731991912,12.940307156438,12.96762471224
2.125,-0.19945857528139,0.098284892239262,-0.22444173684682,0.54367997449395,5,48.370593697448,0.43696630499247,1.117216984326,41.892430228574,12.938656269438,12.966024639033
2.15,-0.1976272073127,0.097875207103898,-0.22374072988483,0.34904799861704,5,48.204075446237,0.43884293776072,1.1192202719508,42.38512612551,12.937066109777,12.964483383509
2.175,-0.1959198129977,0.097469590867829,-0.22307178226307,1.0667917902384,5,47.900349145188,0.44059785082919,1.1210983589558,42.872626136167,12.93556702135,12.963030970164
2.2,-0.19433741542685,0.097058673817337,-0.22243651223835,1.4172859916331,5,47.433852592201,0.44223273152655,1.1228523267146,43.403445368655,12.934153123556,12.961661418805
2.225,-0.1926724394502,0.096633621277692,-0.22177102090956,1.1099560082726,5,46.774053884651,0.44395110711538,1.1246950674379,43.934542498535,12.932670637528,12.960225435307
2.25,-0.19086500547956,0.096170119983505,-0.22104824558589,1.0569069924971,5,46.454487404551,0.4458170253901,1.1266960809752,44.467421886921,12.931059910179,12.958665265247
2.275,-0.18905521557647,0.095693308318759,-0.22032002382807,1.4650760212269,5,46.082762783728,0.44768857257277,1.1287043129801,44.998862815024,12.929438213391,12.957094557515
2.3,-0.18731383319814,0.095199014916219,-0.21960089113948,1.4598041966081,5,45.671228127202,0.44949874896068,1.1306521041339,45.543551481622,12.927852899481,12.955559614234
2.325,-0.18557977344894,0.094712176128724,-0.21888609242661,1.4772990163036,5,45.238778649713,0.45129985284963,1.132589863773,46.105974075312,12.926278093133,12.954034924492
2.35,-0.18383606733609,0.094213904457728,-0.21816256506516,1.8638463479436,5,44.81293430487,0.45311335379149,1.134542369217,46.692025999205,12.924688446989,12.952496049903
2.375,-0.18204077128395,0.093698819938252,-0.21741814791621,1.5124255045599,5,44.432477106392,0.45498107967529,1.1365529802855,47.274440191452,12.923050373394,12.950910274181
2.4,-0.18023614656267,0.093169762025958,-0.21666409314476,1.6166935854068,5,44.04020710855,0.45686165742142,1.1385791025072,47.862094090575,12.921395900896,12.949308823171
2.425,-0.17838474712499,0.092630059708607,-0.21589700460136,3.2005993957818,5,43.643951307565,0.45879011755043,1.1406545261514,48.497131390624,12.919700769328,12.947667714357
2.45,-0.17653580693146,0.092098920723753,-0.21513204387971,3.3359102603131,5,43.250659604555,0.46071383490506,1.1427247564203,49.135203655007,12.918013477316,12.946034347582
2.475,-0.17469728949399,0.091558450687517,-0.21436610271165,3.2842236106316,5,42.864964509795,0.46263014756951,1.1447884715413,49.770857784861,12.916327086913,12.944402004038
2.5,-0.17286508205328,0.091017102419568,-0.21360060578633,3.2099073769832,5,42.48705836955,0.4645406558927,1.1468466327584,50.388403709902,12.914644624226,12.942773609588
2.525,-0.17104836487295,0.09047968214776,-0.21284095320716,3.3005069691173,5,42.109647134603,0.46643519590597,1.1488877975981,50.97874782734,12.912975991706,12.941158688804
2.55,-0.16923516694284,0.089929882249021,-0.21207601996472,3.1417110441237,5,41.735118499657,0.46832991664064,1.15093110118,51.548086855945,12.911301205181,12.939538034339
2.575,-0.16744549134041,0.089381056872994,-0.2113177743313,3.268800579295,5,41.364804934923,0.47020185362017,1.152950775534,52.122908009763,12.909643869361,12.937934409419
2.6,-0.1656603754275,0.088830270158353,-0.21056006986752,3.4546341152745,5,40.998949129014,0.47207000908146,1.1549667420223,52.700803995777,12.907988448919,12.936332717858
2.625,-0.16387645259962,0.088288640629301,-0.20980254431377,3.0973982655871,5,40.636942145143,0.47393434360149,1.1569791008787,53.277305341057,12.906340381917,12.934738409658
2.65,-0.16209950644656,0.087706236609133,-0.20903095177865,3.7313907352191,5,40.278019597608,0.47580429870084,1.1590019916602,53.88297581835,12.904668612906,12.933121442017
2.675,-0.16031385535921,0.087170616503588,-0.2082800967374,3.5779637281858,5,39.922683855431,0.47766855155472,1.1610117732394,54.476320794555,12.90302366665,12.931529921773
2.7,-0.15854296216103,0.086617831312993,-0.20752630156822,3.7042636778177,5,39.571071534451,0.47952371574861,1.1630142320638,55.074073990118,12.90137716688,12.929937103731
2.725,-0.15675827402186,0.08605346747914,-0.20676060172234,3.0868745100878,5,39.22308725476,0.48139551122117,1.165036585778,55.647320763061,12.899712775979,12.928327283167
2.75,-0.15500846393655,0.085472972341609,-0.2059963902717,3.6574499304694,5,38.878570051154,0.48323909738388,1.1670322884313,56.223657000698,12.898061835249,12.926730843048
2.775,-0.15324517645084,0.084929522475972,-0.20524525750378,3.9650519570128,5,38.53744586492,0.48508423166455,1.1690244533213,56.80968850921,12.896427477739,12.925150136739
2.8,-0.15148014325776,0.084319046901021,-0.20446474888161,3.6096263101112,5,38.199774560779,0.48695185651989,1.1710486114943,57.392204905163,12.894744718618,12.923523152889
2.825,-0.14973114987287,0.083776679076308,-0.20372287491369,3.3927658502758,5,37.865530157617,0.48878301481935,1.1730243436882,57.960875700496,12.893121378095,12.921952937017
2.85,-0.14800317219589,0.083242961570893,-0.20298517304192,3.7274556337875,5,37.534655130511,0.49059153941906,1.1749775372985,58.526917803963,12.891519101232,12.920403514625
2.875,-0.14626164809054,0.082696786898404,-0.20224651387234,3.1978803697833,5,37.207099298406,0.49241670050301,1.1769465041218,59.065316467064,12.889898489052,12.918835917043
2.9,-0.14456662815715,0.082174939924184,-0.20152342604541,4.6017176536703,5,36.882833972373,0.49419023280863,1.1788617776909,59.642422657857,12.88832807063,12.917317413254
2.925,-0.14282926764573,0.081615999510235,-0.200776193134,4.0120643004483,5,36.561839265219,0.49601529059758,1.1808338813791,60.205224493555,12.886701524435,12.915744579078
2.95,-0.14107634698002,0.081052477830689,-0.20002231353892,4.1774009095529,5,36.24407981788,0.49785656394599,1.1828235099845,60.765391976961,12.885060763785,12.914158064947
2.975,-0.13934532539471,0.080498913974772,-0.19927871279745,4.2800677145213,5,35.929518451972,0.49967394356274,1.1847871318254,61.325592826085,12.883442610712,12.912593474628
3,-0.13762167440801,0.079977002216539,-0.19855246938883,4.0180905336641,5,35.618121936335,0.50147487793338,1.1867289850886,61.882466649833,12.881852049507,12.91105530301
