Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,23.971958,30.466379,407.875000,8246.881118
2,0.000000,0.581358,74.469768,86.941631,1000.025000,9030.358427
3,0.000000,0.977718,35.305472,52.618888,1000.025000,25506.186143
4,0.000000,0.463531,37.899305,49.730224,1000.025000,13430.390983
5,0.000000,0.535562,60.377224,74.471515,1000.025000,33704.153460
6,0.000000,0.729629,56.394137,71.314858,1000.025000,11722.888347
7,0.000000,0.599458,41.210966,64.286862,1000.025000,25658.802594
8,1.000000,1.000000,42.988831,58.527785,776.625000,19400.642068
9,1.000000,1.000000,34.169044,49.084977,567.625000,12465.439170
10,1.000000,1.000000,13.785190,19.138569,226.150000,4554.042207
11,1.000000,1.000000,25.378145,37.084025,419.500000,9522.356223
12,0.000000,0.116739,35.970729,46.711997,1000.025000,35543.674386
13,1.000000,1.000000,22.182701,33.842010,382.525000,8912.695391
14,0.000000,0.149825,30.446315,51.753883,1000.025000,26814.936280
15,0.000000,0.978387,53.746622,75.953187,1000.025000,19794.722485
16,0.000000,0.185902,33.789873,58.542437,1000.025000,26178.089028
17,1.000000,1.000000,14.938920,25.713052,271.350000,6095.637365
18,1.000000,1.000000,20.899707,28.216943,358.625000,8092.297790
19,1.000000,1.000000,19.428661,27.137741,348.350000,7907.768817
20,0.000000,0.941282,31.076717,53.289897,1000.025000,27882.673528
21,1.000000,1.000000,16.722154,25.580740,235.150000,5382.244255
22,0.000000,0.394523,37.166074,65.202208,1000.025000,28199.353688
23,0.000000,0.581598,63.117763,82.238395,1000.025000,22051.205195
24,0.000000,0.941769,50.881655,87.159868,1000.025000,26865.840869
25,1.000000,1.000000,17.120559,24.212259,252.750000,5165.508038
26,0.000000,0.893911,40.740054,102.362697,608.650000,15928.707884
27,1.000000,1.000000,20.497315,26.654479,330.850000,6729.046275
28,0.000000,0.632419,40.890212,59.162824,1000.025000,26347.832250
29,0.000000,0.345931,41.649687,74.617013,1000.025000,27388.452116
30,1.000000,1.000000,18.643747,25.941335,295.300000,6051.583939
31,1.000000,1.000000,19.015957,26.910426,288.425000,5338.818531
32,0.000000,0.285122,58.585646,68.038294,1000.025000,11235.773745
33,0.000000,0.244052,64.488317,74.407451,1000.025000,7968.958073
34,0.000000,0.602156,48.763295,58.363514,1000.025000,7852.886207
35,1.000000,1.000000,43.580380,59.722354,875.775000,21930.201424
36,1.000000,1.000000,17.340893,28.855408,314.300000,7614.325617
37,0.000000,0.749123,42.191722,79.951719,1000.025000,26420.165737
38,1.000000,1.000000,23.726048,40.982067,443.750000,11800.957679
39,0.000000,0.963638,40.672223,58.016746,1000.025000,26461.585003
40,1.000000,1.000000,14.262988,19.718150,233.250000,4673.016986
41,1.000000,1.000000,15.949065,20.865068,248.450000,5018.394869
42,0.000000,0.458091,39.080873,52.248740,1000.025000,32521.244459
43,0.000000,0.717971,62.794837,76.683709,1000.025000,34166.130429
44,0.000000,0.663902,55.795099,67.335650,1000.025000,4736.081643
45,1.000000,1.000000,14.983242,20.862442,221.600000,3829.068973
46,0.000000,0.097008,33.046602,42.573140,1000.025000,52390.874392
47,1.000000,1.000000,13.017465,17.400036,217.000000,4948.753800
48,0.000000,0.961569,36.124070,54.501996,1000.025000,24878.850949
49,0.000000,0.287708,41.951437,73.236805,1000.025000,27996.840256
50,0.000000,0.058760,37.509610,73.733523,1000.025000,28674.779795
