Time,X,Y,Z,tau_environment,KSSS,K_s,journey_2,journey_3,power_sekibun,distance_2,distance_3
0,0,0,-0.6094444167888,1.9149945342277e-16,5,0.247,0,0.6094444167888,0,12.727922061358,13.034669451868
0.025,0.0010855904135535,-7.0594176295156e-06,-0.6137602390301,0.089328730918058,5,0.318295,0.0010856133664323,0.61389468397177,0.058322530224325,12.727149464102,13.034846556113
0.05,0.0013290633334819,-0.0011615594951322,-0.6241256896501,0.027028108988689,5,0.36511205,0.0022655072140696,0.62432707181192,0.064432700908664,12.726160925618,13.036124343953
0.075,-4.3614532541381e-05,-0.0022361759301804,-0.64103454283327,0.33059981306047,5,0.399873709625,0.004008792906762,0.64132555294926,0.081021314596106,12.726371788425,13.040005912809
0.1,-0.00078295327741191,-0.0024511622126051,-0.66468236046746,0.34814385439932,5,0.42747446736725,0.0047787545170372,0.66498590205365,0.096356228628307,12.72674266497,13.045543413509
0.125,-0.00074773221624939,-0.0023163056749507,-0.69516475523153,0.010838879787791,5,0.4910045140365,0.0049181346049176,0.69546861547227,0.10607650590457,12.726813096849,13.052343624045
0.15,-0.00053779556931799,-0.0020244968011436,-0.73232765487463,0.012877347649071,5,0.53834138975958,0.0052776145272461,0.73263325371479,0.11442775237283,12.726870933801,13.060698300696
0.175,-0.00061436589517136,-0.0017039517897571,-0.77591840354479,0.0055238026291767,5,0.58103038937293,0.0056071780554559,0.77622524818331,0.12262752995112,12.727151713357,13.070833229301
0.2,-0.00091312642169742,-0.0014493237740556,-0.82572199211711,0.0036074534390233,5,0.62291854721128,0.0059997252228004,0.8260303837414,0.13062127079557,12.727543022202,13.082649419808
0.225,-0.0011822828820492,-0.0012870978943349,-0.88158273821889,0.0057404077965179,5,0.66618924570302,0.0063139901368463,0.88189201384189,0.13962208564434,12.727848065726,13.095985295324
0.25,-0.0031644064708566,0.002410300639377,-0.94096523980812,0.20057348221188,5,0.71249991270016,0.01050917426134,0.94142251917179,0.16356391067397,12.731863985725,13.113992106436
0.275,-0.0060838827163984,0.013970459248314,-1.0013963194855,0.048931918156503,5,0.75547002004091,0.022432286632364,1.0030185904717,0.18351939707352,12.74210384288,13.138535747544
0.3,-0.010310150697096,0.026452037630247,-1.0664002042698,1.9769928942344,5,0.79759297431549,0.035609962449783,1.0693447254187,0.2549213244542,12.753921961475,13.165982351832
0.325,-0.017634365111739,0.047241261995462,-1.1140065564287,14.148912097876,5,0.83960611579435,0.057651649465502,1.1218061467907,0.53397479464256,12.773813212804,13.197132346637
0.35,-0.023528948924391,0.064202097231516,-1.1650152249493,1.6972824305731,5,0.88164350409947,0.075607596954536,1.1758829469408,0.59221987276567,12.789989614989,13.225683170452
0.375,-0.038141770550912,0.078332475016596,-1.192250158019,8.6486549089644,5,0.92344163022838,0.095934970917682,1.209867409737,1.074016374974,12.810313313558,13.252287167087
0.4,-0.066033775214577,0.089905418046977,-1.2160179696118,0.084637823222094,5,0.96436432342885,0.12613260219138,1.2482966408308,1.1341934837332,12.838198819241,13.285339136311
