Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,0.000000,0.923646,114.387869,126.557617,1000.025000,27086.504009
2,0.000000,0.180539,80.413854,93.606008,1000.025000,3815.666946
3,1.000000,1.000000,12.984158,17.801719,228.075000,5000.376455
4,1.000000,1.000000,29.388755,48.375714,563.000000,14392.925834
5,0.000000,0.715430,61.791665,75.577180,1000.025000,31793.109847
6,0.000000,0.000053,45.822884,55.200294,1000.025000,3031.784311
7,0.000000,0.396447,38.320547,59.727933,1000.025000,25749.522699
8,1.000000,1.000000,33.236861,47.252772,660.200000,17093.876135
9,0.000000,0.630379,52.585757,68.617656,1000.025000,9378.120739
10,1.000000,1.000000,14.914279,20.295365,258.875000,6610.678780
11,1.000000,1.000000,18.349801,26.640509,325.575000,7202.560750
12,0.000000,0.957646,41.924302,71.468946,1000.025000,26042.619759
13,1.000000,1.000000,21.986093,33.505526,394.025000,9281.081219
14,0.000000,0.320059,40.320496,71.596205,1000.025000,29513.803950
15,0.000000,0.196438,34.320848,40.721560,1000.025000,34744.533581
16,0.000000,0.277285,71.435575,81.751945,1000.025000,5123.327918
17,1.000000,1.000000,15.339948,25.729535,270.800000,6153.961953
18,0.000000,0.000056,64.622463,77.147733,1000.025000,6055.344858
19,0.000000,0.624025,41.842230,52.689625,1000.025000,46621.248648
20,0.000000,0.166172,30.315589,34.105319,1000.025000,49867.062995
21,1.000000,1.000000,13.333092,21.956084,213.050000,4392.537649
22,0.000000,0.387470,38.589932,68.008356,1000.025000,28189.988528
23,0.000000,0.404047,63.799689,78.577918,1000.025000,26745.506959
24,0.000000,0.562140,41.898117,76.126288,1000.025000,27234.368686
25,1.000000,1.000000,14.675229,21.681588,224.825000,3823.249526
26,0.000000,0.893824,45.485474,110.283962,678.225000,18104.124149
27,1.000000,1.000000,20.364660,25.908662,323.000000,6966.158371
28,0.000000,0.440247,36.541177,61.287066,1000.025000,26471.702736
29,0.000000,0.323890,42.549205,72.495804,1000.025000,26720.915957
30,1.000000,1.000000,34.556031,51.281665,764.050000,19067.263106
31,1.000000,1.000000,18.800811,27.200622,304.700000,5865.363246
32,1.000000,1.000000,19.844727,24.577765,350.475000,7374.952270
33,1.000000,1.000000,19.808372,27.861511,299.925000,5870.598469
34,1.000000,1.000000,17.040903,23.381743,252.775000,5280.392566
35,1.000000,1.000000,42.048802,58.292285,866.850000,22080.666627
36,1.000000,1.000000,14.339473,26.508901,227.225000,5847.710519
37,0.000000,0.762052,39.287944,71.667411,1000.025000,29383.341879
38,0.000000,0.555409,40.667804,51.911886,1000.025000,25501.216175
39,1.000000,1.000000,44.184560,61.025786,947.400000,23964.962701
40,1.000000,1.000000,15.829668,20.758809,245.425000,4770.159622
41,1.000000,1.000000,14.868399,22.201230,268.575000,6437.511728
42,0.000000,0.380508,49.706217,66.913326,1000.025000,29258.620412
43,0.000000,0.509316,50.876408,62.277126,1000.025000,45068.218765
44,1.000000,1.000000,21.269355,31.675378,390.000000,9139.988322
45,1.000000,1.000000,19.198906,25.081226,326.950000,6743.842453
46,0.000000,0.097022,33.152497,42.770304,1000.025000,52462.145023
47,1.000000,1.000000,13.427051,17.729469,225.875000,5705.632327
48,1.000000,1.000000,14.899913,20.611108,256.850000,5651.233267
49,0.000000,0.196873,45.788016,76.726038,1000.025000,21279.372470
50,0.000000,0.059781,36.321757,71.444073,1000.025000,28577.810857
