Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,0.000000,0.091845,17.936013,21.532838,1000.025000,13350.833564
2,0.000000,0.605174,38.486690,50.767249,1000.025000,8875.881007
3,0.000000,0.853721,56.765680,60.824805,1000.025000,4257.366066
4,0.000000,0.468230,12.899140,22.963249,1000.025000,6250.380395
5,0.000000,0.063312,12.329165,16.883398,1000.025000,7956.101951
6,0.000000,0.031540,48.259292,57.515202,1000.025000,6547.388009
7,0.000000,0.000000,33.995481,36.595099,1000.025000,1185.271953
8,0.000000,0.000000,7.632658,10.089615,1000.025000,7331.643307
9,0.000000,0.021769,37.254485,49.627784,1000.025000,7176.618569
10,0.000000,0.089194,87.494337,101.809591,1000.025000,10633.856239
11,0.000000,0.537550,51.507685,62.064244,1000.025000,169198204.786372
12,0.000000,0.281981,39.343098,49.488547,1000.025000,4845.251317
13,0.000000,0.448616,58.327484,74.753568,1000.025000,10323.322231
14,0.000000,0.000000,30.809974,39.132726,1000.025000,6970.184115
15,0.000000,0.290083,38.107993,42.929969,1000.025000,4071.608327
16,0.000000,0.032796,18.600850,24.324783,1000.025000,6294.011920
17,0.000000,0.410182,48.163488,61.592613,1000.025000,8571.320946
18,0.000000,0.000000,12.107527,15.368630,1000.025000,5069.525313
19,0.000000,0.167278,47.977779,59.282400,1000.025000,9127.950902
20,0.000000,0.366842,126.979986,141.982169,1000.025000,13435.223175
21,0.000000,0.907202,42.519177,52.122736,1000.025000,14964.252905
22,0.000000,0.000000,34.549721,41.910006,1000.025000,8234.428009
23,0.000000,0.000178,11.086711,14.928672,1000.025000,9117.345648
24,0.000000,0.326801,37.371545,47.989307,1000.025000,4842.508336
25,0.000000,0.193392,33.606737,42.935025,1000.025000,7290.126497
26,0.000000,0.485330,41.724763,59.257967,1000.025000,453930917.680423
27,0.000000,0.000000,34.342662,37.961230,1000.025000,1354.669630
28,0.000000,0.050909,31.471757,37.604052,1000.025000,7916.180116
29,0.000000,0.044533,37.609350,50.145407,1000.025000,289561703.035181
30,0.000000,0.000135,45.445921,54.517021,1000.025000,5821.256428
31,0.000000,0.006459,21.842833,29.667434,1000.025000,6538.252525
32,0.000000,0.019090,11.185663,13.319973,1000.025000,5623.537973
33,0.000000,0.061735,37.682768,46.637955,1000.025000,6503.460802
34,0.000000,0.091094,15.909505,19.457535,1000.025000,7555.203058
35,0.000000,0.039496,41.114443,50.560601,1000.025000,8215.626652
36,0.000000,0.269345,32.065170,77.115365,85.450000,1673.502991
37,0.000000,0.695994,39.548434,48.684600,1000.025000,5851.746246
38,0.000000,0.599089,44.212343,58.044337,1000.025000,8044.430443
39,0.000000,0.017337,3.258328,6.731920,1000.025000,2327.812864
40,0.000000,0.110678,25.590222,29.437094,1000.025000,2659.080777
41,0.000000,0.000000,78.723686,89.824078,1000.025000,5953.603285
42,0.000000,0.009111,5.081818,11.467748,1000.025000,8466.395345
43,0.000000,0.050851,5.625768,7.342472,1000.025000,5703.257448
44,0.000000,0.708810,41.054569,50.617529,1000.025000,7443.938912
45,0.000000,0.098716,43.232454,54.335299,1000.025000,8215.187759
46,0.000000,0.140188,32.679963,40.684988,1000.025000,9083.057113
47,0.000000,0.380415,24.545432,66.551097,81.475000,1061.986899
48,0.000000,0.001623,8.439800,54.007631,6.250000,315.169050
49,0.000000,0.000000,35.908492,41.606449,1000.025000,4973.498510
50,0.000000,0.015673,27.170464,33.509838,1000.025000,8216.761461
