Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,0.000000,0.078615,6.458910,9.205400,1000.025000,8890.754808
2,0.000000,0.608171,38.675828,51.050818,1000.025000,6188.989395
3,0.000000,0.853423,61.290330,67.061450,1000.025000,6734.815308
4,0.000000,0.477934,27.108577,39.025644,1000.025000,7633.206251
5,0.000000,0.003664,1.509807,3.767167,1000.025000,6812.163876
6,0.000000,0.026972,40.874786,50.511582,1000.025000,9073.130128
7,0.000000,0.000000,35.258637,37.861279,1000.025000,1162.186086
8,0.000000,0.000000,15.467208,19.239822,1000.025000,9107.121650
9,0.000000,0.022575,38.271386,50.418451,1000.025000,9436.412723
10,0.000000,0.086025,82.545918,98.894587,1000.025000,13952.133421
11,0.000000,0.538015,61.486723,72.255249,1000.025000,8988.228204
12,0.000000,0.904787,37.970755,51.952028,1000.025000,7366.133410
13,0.000000,0.396776,40.402360,53.053351,1000.025000,9938.633109
14,0.000000,0.000000,15.426020,18.264689,1000.025000,8120.065949
15,0.000000,0.280209,48.673917,61.115748,1000.025000,12199.823564
16,0.000000,0.033145,28.806809,35.504746,1000.025000,7803.435914
17,0.000000,0.415907,50.085187,65.378698,1000.025000,9333.650833
18,0.000000,0.000000,39.084790,47.762531,1000.025000,7743.925629
19,0.000000,0.160892,29.477138,34.589394,1000.025000,142467640.357584
20,0.000000,0.360522,61.171357,64.553115,1000.025000,4872.231338
21,0.000000,0.919879,90.972922,111.366863,1000.025000,14153.248542
22,0.000000,0.000000,75.199112,93.138387,1000.025000,11310.559991
23,0.000000,0.000170,7.490317,10.997241,1000.025000,14213.894326
24,0.000000,0.326440,39.584270,51.894419,1000.025000,4606.932084
25,0.000000,0.193779,37.253471,46.753410,1000.025000,7300.307489
26,0.000000,0.117885,16.434917,63.460134,5.450000,477.958299
27,0.000000,0.000000,60.966783,72.901358,1000.025000,9584.063467
28,0.000000,0.052181,41.379023,50.138079,1000.025000,12023.868596
29,0.000000,0.028418,20.429522,28.583013,1000.025000,16269.240561
30,0.000000,0.000000,39.902370,47.249819,1000.025000,7113.647640
31,0.000000,0.000850,25.602895,33.670866,1000.025000,7472.267042
32,0.000000,0.006807,6.990899,8.566117,1000.025000,5020.054865
33,0.000000,0.061086,34.886068,41.163358,1000.025000,7056.255696
34,0.000000,0.095588,43.416270,53.093286,1000.025000,8323.245359
35,0.000000,0.040720,40.792475,48.852515,1000.025000,7554.447253
36,0.000000,0.257661,31.277260,76.068615,86.625000,1634.414104
37,0.000000,0.702573,92.693169,113.848412,1000.025000,16032.990024
38,0.000000,0.594978,39.947138,51.978734,1000.025000,8588.538494
39,0.000000,0.032263,13.655793,18.668458,1000.025000,5913.911567
40,0.000000,0.112589,14.465747,18.109837,1000.025000,6073.189695
41,0.000000,0.000000,8.675653,54.566146,5.400000,157.514405
42,0.000000,0.010983,13.688439,22.959689,1000.025000,7528.607899
43,0.000000,0.051380,27.226141,32.164718,1000.025000,9749.550018
44,0.000000,0.725663,44.744263,56.580527,1000.025000,9151.341827
45,0.000000,0.073029,19.983910,25.804724,1000.025000,6849.258217
46,0.000000,0.131844,31.112291,38.470982,1000.025000,6889.873906
47,0.000000,0.380718,39.258313,83.735653,207.525000,4117.336544
48,0.000000,0.001654,8.040007,54.128013,6.425000,284.468926
49,0.000000,0.000000,32.672584,39.051076,1000.025000,9133.213582
50,0.000000,0.015939,41.183844,52.246027,1000.025000,7426.002298
