Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,31.754532,41.450798,437.700000,8538.773478
2,0.000000,0.174668,36.252909,47.641879,1000.025000,56223.800780
3,1.000000,1.000000,12.649950,17.327246,219.175000,4811.112380
4,1.000000,1.000000,25.371729,44.521381,372.650000,9276.448586
5,1.000000,1.000000,29.412269,38.193101,400.725000,8423.023977
6,1.000000,1.000000,54.438468,79.304888,736.375000,17328.562689
7,1.000000,1.000000,31.384351,43.266243,425.800000,9277.187818
8,1.000000,1.000000,49.293263,69.530561,734.375000,17877.244763
9,1.000000,1.000000,33.856052,50.509994,449.800000,10177.483755
10,1.000000,1.000000,12.939148,18.861412,221.075000,5142.107581
11,1.000000,1.000000,14.459425,20.492237,228.825000,4386.465821
12,1.000000,1.000000,20.313064,33.034375,202.500000,4103.673055
13,1.000000,1.000000,18.480513,28.431072,300.650000,6438.276189
14,0.000000,0.610963,60.046058,90.303539,1000.025000,21496.933279
15,0.000000,0.256231,49.847344,58.870393,1000.025000,31073.979665
16,1.000000,1.000000,29.669389,42.394517,411.450000,8417.510125
17,1.000000,1.000000,23.961921,42.750485,385.350000,9287.743842
18,1.000000,1.000000,15.372661,21.432696,256.875000,5422.393817
19,1.000000,1.000000,19.641745,28.618218,279.850000,6244.021881
20,1.000000,1.000000,21.690522,33.655125,312.725000,7043.365284
21,1.000000,1.000000,13.312293,21.896181,206.700000,4307.955725
22,0.000000,0.398346,54.145744,99.666143,1000.025000,27192.063085
23,0.000000,0.915149,34.067198,88.860061,407.625000,7607.785226
24,1.000000,1.000000,51.652599,74.977309,838.725000,28240.077940
25,1.000000,1.000000,13.881458,21.183614,212.750000,3837.353294
26,0.000000,0.882184,27.790732,87.326235,321.575000,7797.318913
27,1.000000,1.000000,14.354047,20.705293,237.650000,5131.655677
28,1.000000,1.000000,32.853704,48.612413,526.275000,12891.059660
29,0.000000,0.000115,69.678467,80.127218,1000.025000,4462.936803
30,1.000000,1.000000,17.448773,25.176069,280.025000,5991.656554
31,1.000000,1.000000,14.734897,22.800533,241.800000,4557.623941
32,1.000000,1.000000,20.696293,26.534127,311.450000,6450.303343
33,1.000000,1.000000,18.750904,24.698683,242.125000,4365.154607
34,1.000000,1.000000,15.235802,21.755432,234.500000,4998.303945
35,1.000000,1.000000,19.878464,27.257865,294.925000,5850.801131
36,1.000000,1.000000,13.844077,25.718644,211.700000,5376.529344
37,0.000000,0.772355,58.689541,120.602634,1000.025000,27793.104074
38,1.000000,1.000000,13.798627,22.424853,181.775000,3618.616133
39,1.000000,1.000000,18.837747,28.503683,307.600000,6665.433474
40,1.000000,1.000000,14.723590,20.466452,244.550000,5155.662147
41,1.000000,1.000000,14.544602,21.798500,256.575000,6327.359882
42,1.000000,1.000000,52.711114,75.709851,777.325000,16820.037395
43,1.000000,1.000000,38.141795,48.030973,541.375000,12606.076542
44,1.000000,1.000000,19.781350,28.203872,326.000000,8915.680120
45,1.000000,1.000000,14.121265,20.218985,199.725000,3330.879435
46,1.000000,1.000000,47.634644,75.758584,677.750000,16992.787521
47,1.000000,1.000000,12.659158,17.079329,214.575000,5527.098220
48,1.000000,1.000000,13.796282,19.323865,233.875000,5072.306172
49,0.000000,0.329202,58.887248,101.577980,1000.025000,30299.499380
50,0.000000,0.078053,54.758496,110.407935,1000.025000,28294.483163
