Terrain_Num,Path
1,"0.00,0.00;2.65,-1.47;4.42,-3.10;7.08,-5.31;8.56,-7.82;9.00,-9.15;9.00,-9.00"
2,"0.00,0.00;2.65,-1.33;4.57,-2.95;6.64,-5.16;9.00,-7.67;9.00,-9.00;9.00,-9.00"
3,"0.00,0.00;2.51,-2.06;4.87,-3.69;7.52,-6.05;9.00,-8.70;9.00,-9.00;9.00,-9.00"
4,"0.00,0.00;0.89,-2.80;3.10,-4.87;5.01,-6.49;7.82,-8.26;9.00,-9.15;9.00,-9.00"
5,"0.00,0.00;2.36,-2.51;5.31,-5.46;7.23,-8.26;9.00,-9.15;9.00,-9.00"
6,"0.00,0.00;2.06,-2.21;4.57,-4.72;6.93,-7.67;9.00,-9.15;9.00,-9.00"
7,"0.00,0.00;0.88,-2.80;3.10,-3.98;5.90,-6.05;8.85,-9.00;9.00,-9.15;9.00,-9.00"
8,"0.00,0.00;0.89,-2.80;3.10,-4.72;4.87,-6.19;7.37,-6.34;9.29,-8.70;9.00,-9.00;9.00,-9.00"
9,"0.00,0.00;2.06,-2.21;4.57,-4.72;6.93,-7.67;9.00,-9.15;9.00,-9.00"
10,"0.00,0.00;2.36,-2.51;5.31,-5.46;8.26,-8.41;9.00,-9.15;9.00,-9.00"
11,"0.00,0.00;2.06,-2.21;4.57,-4.72;7.52,-7.67;9.00,-9.00;9.00,-9.00"
12,"0.00,0.00;2.36,-0.88;5.01,-0.88;6.93,-3.10;8.41,-5.75;8.85,-8.70;9.00,-9.15;9.00,-9.00"
13,"0.00,0.00;1.62,-1.62;4.57,-2.80;6.19,-5.16;7.96,-8.11;9.00,-9.15;9.00,-9.00"
14,"0.00,0.00;2.51,-2.65;5.46,-5.60;8.41,-8.56;9.00,-9.15;9.00,-9.00"
15,"0.00,0.00;0.44,-2.80;2.36,-4.87;4.72,-7.52;7.52,-8.26;9.00,-9.15;9.00,-9.00"
16,"0.00,0.00;2.06,-2.21;4.72,-4.57;7.23,-7.23;9.00,-9.00;9.00,-9.00"
17,"0.00,0.00;1.47,-2.80;3.39,-3.83;6.34,-6.49;9.00,-9.15;9.00,-9.00"
18,"0.00,0.00;2.06,-2.21;4.57,-4.72;7.52,-7.67;9.00,-9.15;9.00,-9.00"
19,"0.00,0.00;2.06,-2.21;4.28,-4.42;7.23,-7.37;9.00,-9.15;9.00,-9.00"
20,"0.00,0.00;0.88,-2.80;3.24,-4.28;5.16,-6.64;7.96,-8.11;9.00,-9.15;9.00,-9.00"
21,"0.00,0.00;2.65,-1.03;4.87,-2.80;6.78,-5.01;8.41,-7.08;9.00,-9.15;9.00,-9.00"
22,"0.00,0.00;0.88,-2.80;2.95,-5.16;5.01,-6.34;7.82,-8.11;9.00,-9.15;9.00,-9.00"
23,"0.00,0.00;2.65,-1.03;4.87,-2.06;6.49,-3.54;8.11,-5.60;8.56,-8.56;9.00,-9.00;9.00,-9.00"
24,"0.00,0.00;1.47,-2.51;3.10,-4.72;5.46,-6.05;7.67,-7.82;9.00,-9.00;9.00,-9.00"
25,"0.00,0.00;1.47,-2.51;3.83,-2.80;5.90,-4.42;7.96,-6.64;9.00,-9.00;9.00,-9.00"
26,"0.00,0.00;1.47,-2.65;3.39,-3.98;6.34,-6.49;9.00,-9.15;9.00,-9.00"
27,"0.00,0.00;2.80,-2.95;5.75,-5.90;8.70,-8.85;9.00,-9.15;9.00,-9.00"
28,"0.00,0.00;1.62,-2.06;4.42,-2.80;7.08,-4.13;8.41,-6.49;9.00,-9.00;9.00,-9.00"
29,"0.00,0.00;2.65,-2.80;4.87,-5.01;7.82,-7.96;9.00,-9.15;9.00,-9.00"
30,"0.00,0.00;2.36,-2.51;5.31,-5.46;8.26,-8.41;9.00,-9.00;9.00,-9.00"
31,"0.00,0.00;2.06,-2.21;4.57,-4.72;7.52,-7.52;9.00,-9.00;9.00,-9.00"
32,"0.00,0.00;0.29,-2.95;1.47,-5.46;3.39,-7.08;6.34,-7.08;8.26,-8.41;9.00,-9.15;9.00,-9.00"
33,"0.00,0.00;1.62,-2.06;4.57,-4.72;7.52,-7.67;9.00,-9.00;9.00,-9.00"
34,"0.00,0.00;2.36,-2.51;4.87,-5.01;7.82,-7.96;9.00,-9.00;9.00,-9.00"
35,"0.00,0.00;1.03,-2.95;2.95,-4.87;5.75,-5.90;8.56,-7.67;9.15,-9.00;9.00,-9.00"
36,"0.00,0.00;1.18,-2.80;3.24,-4.13;5.46,-6.34;7.67,-8.26;9.00,-9.00;9.00,-9.00"
37,"0.00,0.00;1.18,-2.06;3.39,-3.54;6.34,-6.49;9.00,-9.00;9.00,-9.00"
38,"0.00,0.00;0.74,-2.95;2.36,-4.87;5.16,-6.05;6.93,-7.52;9.00,-9.00;9.00,-9.00"
39,"0.00,0.00;1.33,-2.06;4.28,-4.42;6.49,-7.08;9.00,-9.15;9.00,-9.00"
40,"0.00,0.00;2.36,-2.80;4.57,-4.72;7.37,-5.60;9.29,-7.08;9.15,-9.00;9.00,-9.00"
