Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,12.767248,14.670194,177.475000,2261.845013
2,1.000000,1.000000,15.200263,17.665300,219.875000,3134.295500
3,1.000000,1.000000,12.515259,13.570713,170.350000,3038.549445
4,0.000000,0.177382,36.737205,44.602950,1000.025000,47463.265008
5,1.000000,1.000000,13.240123,15.009588,190.400000,3613.863297
6,0.000000,0.423521,31.909618,37.595774,1000.025000,48342.732951
7,1.000000,1.000000,13.009199,17.278397,187.500000,2776.707123
8,1.000000,1.000000,13.990283,19.013515,220.250000,3846.639533
9,1.000000,1.000000,12.678832,17.157925,188.250000,3279.360823
10,1.000000,1.000000,12.559692,14.282951,172.625000,3432.559163
11,1.000000,1.000000,12.956694,16.428936,191.600000,3274.518216
12,1.000000,1.000000,13.055567,17.901811,197.375000,3321.959440
13,1.000000,1.000000,13.227511,15.842520,190.300000,2878.005159
14,1.000000,1.000000,13.070358,15.588609,198.700000,3504.658557
15,1.000000,1.000000,12.549238,13.896200,171.500000,3039.929480
16,0.000000,0.116055,30.644933,39.521670,1000.025000,50140.393509
17,1.000000,1.000000,16.919151,20.809268,256.375000,4530.139596
18,1.000000,1.000000,12.516719,13.948360,171.975000,3344.860681
19,1.000000,1.000000,12.677508,18.543339,196.575000,4247.084726
20,1.000000,1.000000,14.793298,18.198581,236.525000,4392.736866
21,1.000000,1.000000,13.117655,16.801385,186.525000,3347.659544
22,1.000000,1.000000,13.577333,15.418623,193.275000,2719.575206
23,1.000000,1.000000,15.781690,20.880144,252.600000,4868.819630
24,1.000000,1.000000,13.584153,15.425351,185.250000,2628.324017
25,1.000000,1.000000,12.654582,14.672808,175.850000,2460.056949
26,1.000000,1.000000,12.513867,13.874586,171.875000,3383.640412
27,1.000000,1.000000,13.804659,18.436476,198.225000,3216.456253
28,1.000000,1.000000,13.373307,15.945798,186.600000,2667.682290
29,1.000000,1.000000,12.674012,14.329896,177.800000,2732.782665
30,1.000000,1.000000,12.521108,13.407781,171.700000,3378.432113
31,1.000000,1.000000,13.292723,25.911986,245.800000,5923.534646
32,1.000000,1.000000,12.862994,18.309727,188.925000,3325.591072
33,1.000000,1.000000,13.341089,22.701669,211.750000,4640.675459
34,1.000000,1.000000,12.514576,13.207987,171.450000,3351.993028
35,1.000000,1.000000,12.517778,13.425888,171.450000,3402.099632
36,1.000000,1.000000,13.096532,14.684044,185.675000,2493.112342
37,1.000000,1.000000,12.526419,13.310424,170.450000,2773.489514
38,0.000000,0.651545,35.420451,47.544162,1000.025000,47186.522526
39,1.000000,1.000000,12.580294,14.482405,171.800000,3214.359844
40,1.000000,1.000000,12.662283,14.012042,177.850000,2462.499434
41,1.000000,1.000000,18.177130,25.280512,306.625000,6342.318591
42,1.000000,1.000000,14.646679,19.718162,207.175000,4646.715137
43,1.000000,1.000000,12.514850,13.774373,170.775000,3319.779768
44,1.000000,1.000000,13.848629,17.000386,209.025000,3310.708595
45,1.000000,1.000000,13.162879,16.587738,178.975000,2035.585424
46,1.000000,1.000000,12.929679,19.397432,179.650000,3075.948468
47,1.000000,1.000000,12.554121,14.285961,171.075000,3251.397807
48,0.000000,0.420982,31.000757,36.223000,1000.025000,48647.648586
49,1.000000,1.000000,12.526309,13.231347,168.875000,1900.637754
50,1.000000,1.000000,12.557558,13.755407,171.350000,3091.124920
