Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,15.346223,17.830714,170.100000,1674.776701
2,0.000000,0.000000,48.085899,56.977249,1000.025000,7274.975112
3,1.000000,1.000000,12.536663,13.581467,166.575000,388.696124
4,0.000000,0.059637,59.984965,72.919285,1000.025000,8197.553555
5,1.000000,1.000000,16.828197,18.992358,139.800000,1892.603067
6,1.000000,1.000000,12.538177,15.443908,105.325000,1483.646189
7,1.000000,1.000000,15.468258,20.469648,136.650000,2194.707437
8,0.000000,0.559384,37.790648,45.986144,1000.025000,7190.198182
9,1.000000,1.000000,12.677076,17.170749,76.900000,1580.996453
10,1.000000,1.000000,12.618959,14.355032,171.325000,1126.370155
11,1.000000,1.000000,12.756892,16.517157,82.950000,2006.037726
12,0.000000,0.846582,67.591230,74.726301,1000.025000,4940.808845
13,0.000000,0.727085,48.115735,51.813624,1000.025000,3081.046549
14,0.000000,0.000000,10.926577,54.419901,5.950000,76.560257
15,1.000000,1.000000,12.663993,13.990545,169.100000,653.088790
16,1.000000,1.000000,12.512360,20.600149,187.475000,2534.348416
17,0.000000,0.000000,14.356915,16.874481,1000.025000,6952.378662
18,1.000000,1.000000,12.536216,13.969823,166.450000,593.395389
19,1.000000,1.000000,12.541846,18.522430,196.150000,2787.633923
20,0.000000,0.505016,41.257003,48.895904,1000.025000,6916.841028
21,1.000000,1.000000,14.499913,18.494421,138.450000,1812.995136
22,1.000000,1.000000,25.783377,30.596614,253.100000,4549.238676
23,0.000000,0.538676,41.473181,50.760723,1000.025000,8981.675278
24,1.000000,1.000000,14.106198,16.145621,167.350000,1609.732483
25,1.000000,1.000000,12.974751,15.158793,165.900000,1277.236449
26,1.000000,1.000000,12.567359,13.941890,167.075000,398.128288
27,0.000000,0.003163,8.118471,58.623438,6.575000,231.495768
28,1.000000,1.000000,16.313059,19.595638,157.300000,2046.284931
29,0.000000,0.954512,21.497103,68.754244,173.250000,1550.938606
30,1.000000,1.000000,12.551580,13.463080,166.275000,310.172166
31,0.000000,0.718659,115.088937,141.392125,1000.025000,19208.313501
32,1.000000,1.000000,13.407618,18.910908,111.950000,1974.839995
33,0.000000,0.321130,41.208738,87.824884,270.275000,4288.092757
34,1.000000,1.000000,12.549269,13.251070,166.400000,453.708782
35,1.000000,1.000000,12.552012,13.479107,166.200000,275.364353
36,0.000000,0.152932,48.114250,56.602841,1000.025000,8296.993904
37,1.000000,1.000000,12.514758,13.302630,167.425000,729.350464
38,1.000000,1.000000,16.905486,26.025787,92.300000,2590.197342
39,1.000000,1.000000,12.660338,14.581816,170.325000,732.512092
40,1.000000,1.000000,13.279784,14.592422,161.825000,1227.800775
41,0.000000,0.423040,29.289882,38.496139,1000.025000,9154.376923
42,0.000000,0.726578,49.817766,57.982704,1000.025000,7450.431596
43,1.000000,1.000000,12.548257,13.827368,166.700000,448.129772
44,0.000000,0.350158,40.927450,47.249123,1000.025000,6110.095470
45,1.000000,1.000000,15.274663,20.523459,156.425000,2576.576990
46,1.000000,1.000000,18.730326,26.432162,169.350000,2769.530586
47,1.000000,1.000000,12.571990,14.321702,167.175000,503.501755
48,0.000000,0.879578,59.886450,66.110681,1000.025000,7552.497099
49,1.000000,1.000000,12.539492,13.255561,167.375000,578.969649
50,1.000000,1.000000,12.583873,13.785504,167.975000,581.351233
