Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,12.800374,14.908364,180.250000,2887.821872
2,1.000000,1.000000,14.156731,17.983412,215.825000,3896.963443
3,1.000000,1.000000,12.526510,13.581315,170.500000,3014.233861
4,1.000000,1.000000,15.778560,19.421883,227.175000,4122.639034
5,1.000000,1.000000,13.208778,14.967024,190.025000,3582.680460
6,1.000000,1.000000,12.836475,15.629264,183.650000,2845.026862
7,1.000000,1.000000,12.888735,17.278338,189.100000,2865.577519
8,1.000000,1.000000,14.710059,20.466598,205.350000,3615.076457
9,1.000000,1.000000,12.692290,17.171069,188.275000,3329.796323
10,1.000000,1.000000,12.541556,14.271308,172.550000,3438.768121
11,1.000000,1.000000,12.916546,16.412199,191.425000,3380.458813
12,1.000000,1.000000,12.830532,17.790517,195.050000,3456.951570
13,1.000000,1.000000,12.963079,16.110552,192.600000,3953.831021
14,1.000000,1.000000,13.013916,15.534314,196.875000,3803.707505
15,1.000000,1.000000,12.568948,13.913751,171.650000,3048.607678
16,1.000000,1.000000,12.619770,20.670343,190.600000,4558.963644
17,1.000000,1.000000,14.914560,19.735181,231.375000,4751.481662
18,1.000000,1.000000,12.541048,13.968255,172.050000,3311.564273
19,1.000000,1.000000,12.638748,18.499660,196.450000,4275.200282
20,1.000000,1.000000,12.925251,16.376079,192.250000,3313.830022
21,1.000000,1.000000,12.775834,16.529428,180.875000,3203.830620
22,1.000000,1.000000,13.443131,15.728568,198.025000,3422.737151
23,1.000000,1.000000,13.697743,19.033548,221.325000,4268.089877
24,1.000000,1.000000,12.976722,14.988828,181.725000,3781.018491
25,1.000000,1.000000,12.667422,14.873237,177.500000,3261.902983
26,1.000000,1.000000,12.531371,13.885821,172.050000,3374.933125
27,1.000000,1.000000,13.409447,18.034189,194.075000,3333.634889
28,1.000000,1.000000,13.255451,15.869404,186.025000,2816.312746
29,1.000000,1.000000,12.619949,14.259376,176.700000,3051.245075
30,1.000000,1.000000,12.530059,13.415032,171.775000,3419.567596
31,1.000000,1.000000,12.705782,25.533963,219.575000,5330.860208
32,1.000000,1.000000,12.831020,18.233864,191.525000,3358.234311
33,1.000000,1.000000,13.703884,23.080375,214.050000,5072.260639
34,1.000000,1.000000,12.518684,13.209468,171.350000,3381.552658
35,1.000000,1.000000,12.556250,13.457864,171.825000,3404.214839
36,1.000000,1.000000,12.887982,14.649663,185.100000,2639.353112
37,1.000000,1.000000,12.533283,13.311544,170.400000,2910.165481
38,0.000000,0.136735,48.673670,58.677431,1000.025000,39999.285812
39,1.000000,1.000000,12.591204,14.490334,171.925000,3229.629017
40,1.000000,1.000000,12.589427,13.963904,176.450000,2715.766493
41,1.000000,1.000000,13.654729,19.965543,193.500000,3626.647810
42,1.000000,1.000000,15.003637,20.813494,220.125000,4380.592605
43,1.000000,1.000000,12.513443,13.772888,170.925000,3292.330101
44,1.000000,1.000000,13.026242,16.852327,201.300000,3800.986153
45,1.000000,1.000000,12.930960,17.159639,189.875000,2998.173480
46,1.000000,1.000000,12.654019,19.229633,179.050000,2936.311468
47,1.000000,1.000000,12.547599,14.281813,171.125000,3219.118259
48,1.000000,1.000000,12.856058,17.195193,196.750000,3925.039966
49,1.000000,1.000000,12.535450,13.236752,168.275000,2086.275430
50,1.000000,1.000000,12.576387,13.774457,171.550000,3065.151980
