Time,X,Y,Z,tau_environment,KSSS,K_s,journey_2,journey_3,power_sekibun,distance_2,distance_3
0,0,0,0.89117413473825,1.9149945342277e-16,5,0.247,0,0.89117413473825,0,12.727922061358,12.765605784346
0.025,0.0010937528972271,-6.4810367532467e-07,0.88686465016386,0.089304023351857,5,0.318295,0.0010937530892441,0.89562025137158,0.058261300906453,12.72714822646,12.764504053106
0.05,0.0017604794963749,-0.00024523403990072,0.87655976376053,0.018446890859546,5,0.36511205,0.001803926756885,0.90594958002469,0.069684558467124,12.726503852817,12.763077858807
0.075,6.2658377800526e-05,-0.001946861560219,0.85930827836132,0.24139004746158,5,0.399873709625,0.0042077014486108,0.92336772806768,0.08841113329567,12.726501185923,12.761781708214
0.1,-0.0013351108355431,-0.0026250147691131,0.8352500161801,0.54299418974052,5,0.42747446736725,0.0057612942358316,0.94747610067407,0.10817279619772,12.727010269597,12.760524325876
0.125,-0.0016646250390618,-0.0026903895130792,0.80424301036793,0.013410750131942,5,0.4910045140365,0.0060972309374128,0.9784849262388,0.12052727493105,12.727197108894,12.758502400033
0.15,-0.001499367122962,-0.0024743378324487,0.76643013093947,0.0064239105809666,100,1.1083413897596,0.0063692392232,1.0162987840052,0.13212737491544,12.727232963126,12.755946680441
0.175,-0.0015668366875849,-0.0021311211240369,0.72211973706558,0.0083947979938451,100,1.8316103893729,0.0067190246589795,1.0606105584575,0.14343411675466,12.727523320615,12.753341659578
0.2,-0.0019516325989728,-0.0017937168738372,0.67158510567502,0.025512225078907,100,2.6861110672113,0.0072307956248164,1.1111477811681,0.15334236005629,12.728034000164,12.750737240904
0.225,-0.0023556485249366,-0.0015407594378281,0.61500538312641,0.039810784292291,100,3.699641114583,0.0077074677688155,1.1677295116119,0.16362426042507,12.728498573146,12.747951340646
0.25,-0.0026166275400429,-0.001368314832508,0.55252243465075,0.04201157980619,100,4.9044414441429,0.0080202731207996,1.2302132430737,0.17504164713646,12.728805063625,12.744959649423
0.275,-0.0027696700148252,-0.0012140004614386,0.48422458729149,0.030090248205351,100,5.7606482085835,0.0082376090916052,1.2985114362331,0.18692756897884,12.72902239753,12.741921684433
0.3,-0.0025468363682555,0.0049694639475107,0.4652688554497,2.7242987432634,100,6.6631957314354,0.014425087328398,1.3184514627273,1.4709510991425,12.733237003513,12.74529364559
0.325,-0.001075260958075,0.0047734048803717,0.46508592749878,5.4408582533555,100,7.6005232877955,0.015909665836142,1.3199472688581,3.7545337315713,12.732057961173,12.74410776444
0.35,0.0017989529805791,0.004737972447309,0.46502486964781,2.8022422050882,100,8.5539192585888,0.018784098166615,1.3228223496019,4.4285965723258,12.73000110114,12.742050194701
0.375,0.003504808563447,0.0046963504030286,0.46503632001457,0.94029011453859,5,8.9256492185259,0.020490461452721,1.3245287513058,4.760967763865,12.728765929677,12.740816689243
0.4,0.0046238667640007,0.0046316767601311,0.46509830781027,0.31681927107676,5,9.1357635267562,0.021611386934772,1.3256513894591,5.3717438365474,12.727929266479,12.739983513197
0.425,0.0059064531505205,0.0045571318162234,0.46514348963555,1.3667292868137,5,9.2205358984818,0.022896137800718,1.3269369345516,6.1002711647215,12.726970097774,12.739027217324
0.45,0.0076898633206867,0.0044362561288268,0.46516406625536,1.0135212206747,5,9.1466598908888,0.024683639623614,1.3287245548032,6.8181932141473,12.725624302364,12.737683590951
0.475,0.0096154172699358,0.0043115012422308,0.46517525945085,0.69869651095139,5,8.8766103918889,0.026613230718431,1.3306541783626,7.4412823988153,12.724175437206,12.736236584656
0.5,0.01144398626646,0.0042066250618351,0.4651903257235,0.10032356264329,5,8.9392124717491,0.028444804792353,1.332485814402,8.0068734003254,12.722809287215,12.734872384148
0.525,0.013148431431013,0.0041111137541865,0.46521479216465,0.1115899647122,5,8.9418437428743,0.030151923923773,1.334193108851,8.5436404528789,12.721537566832,12.733602933322
0.55,0.014806345987596,0.0039882603378435,0.46523999437529,0.17671631274267,5,8.9042233048013,0.031814384040238,1.3358557599841,9.0997632298433,12.72027946204,12.732347117708
0.575,0.016447399139245,0.0038416750398209,0.4652640501746,0.75555515309643,5,8.8428586616272,0.033461970971521,1.3375035225208,9.6730016181001,12.719016559531,12.731086459519
0.6,0.018132791563458,0.0037055443598601,0.46528320551475,1.6456854371914,5,8.7839212231505,0.035152852157654,1.3391945122052,10.27656510533,12.717729831991,12.729801786016
0.625,0.019914742903415,0.003525012851377,0.46530392189216,0.55953570084876,5,8.7659395244153,0.036943925077312,1.3409857049285,10.838275551316,12.716343573597,12.728417744494
0.65,0.021549571523184,0.0033519034954074,0.46532373944053,0.529843313526,5,8.7323245726325,0.038587893284163,1.3426297925783,11.404257210484,12.715066558803,12.727142804284
0.675,0.023421926380498,0.0031404056274697,0.46531857677202,1.5103977733716,5,8.6916778536056,0.040472155489869,1.3445140618566,11.995194877175,12.713594734583,12.725672151906
0.7,0.025265995929019,0.0029791258156422,0.46532245521762,1.5336276571708,5,8.6504440360736,0.042323264259629,1.3463651746894,12.531940959337,12.7121785538,12.724257484265
0.725,0.026758736070775,0.0027466576468706,0.46535252013001,0.24812326566752,5,8.6131155987162,0.043833997386393,1.3478762069456,13.056937633412,12.710960080279,12.723041477386
0.75,0.028059714078752,0.0025149568174186,0.46537706006241,0.79036232856671,5,8.579979307576,0.045155446988765,1.3491978843873,13.600842940376,12.709877577768,12.721961072161
0.775,0.029714966379091,0.0022627149553523,0.46538969269318,2.0971116543531,5,8.5439030255092,0.046829808399798,1.3508722934526,14.179601885755,12.708530504094,12.720615828615
0.8,0.031391137533238,0.001984375322602,0.46540249624471,1.0898484862395,5,8.5073492453672,0.048528932494488,1.3525714657865,14.703544913801,12.707150255721,12.719237449746
0.825,0.032968222214382,0.0017062416840547,0.46541451933907,1.0982602469941,5,8.471589495369,0.050130355115906,1.3541729335405,15.239004884083,12.705840159761,12.717929123003
0.85,0.034878955778168,0.0013680330267286,0.46540948015523,0.23779463475131,5,8.4368917144723,0.05207079007943,1.3561133750472,15.762327760929,12.704252115081,12.71634236833
0.875,0.036494588471967,0.0010834337299513,0.4654333086849,0.38545734604592,5,8.402704280929,0.053711297854785,1.3577540558693,16.252426837156,12.702910384769,12.715002952786
0.9,0.037980712607351,0.00082764228630448,0.46545493972566,0.6402604895146,5,8.3683129257595,0.055219274714161,1.3592621878629,16.749941503346,12.701680516914,12.713775197987
0.925,0.039396158692095,0.00054983198309809,0.46547567392318,0.89909832123174,5,8.334248446408,0.056661726163391,1.360704788324,17.256745075346,12.700484970223,12.712581693023
0.95,0.0409522424262,0.00025515172242848,0.4654890113557,1.7429440694695,5,8.3006668914099,0.058245466370487,1.3622885846906,17.795885749883,12.699178300921,12.711276848986
0.975,0.042986132732315,-0.00012817728300835,0.46548425488763,0.45943682546437,5,8.2675079062419,0.060315164634418,1.36435828842,18.31954516778,12.697471805197,12.709571770213
1,0.044929196620739,-0.00051287510159155,0.46548755239729,0.05366747565631,5,8.2346474474452,0.062295944704522,1.3663390712349,18.813039438889,12.695828511946,12.707930185512
1.025,0.046659044974742,-0.00083241884731104,0.46549862034426,0.36199300917041,5,8.2020444217493,0.064055059121857,1.3680982204704,19.251494559651,12.694381883755,12.706485418059
1.05,0.048048617827968,-0.0011761659513131,0.46552232756404,1.1676835405112,5,8.1697883319713,0.065486518092952,1.3695298757425,19.707297081184,12.693158154889,12.705263889598
1.075,0.049507252644368,-0.001510547688778,0.46553388155203,0.83989932589024,5,8.1378830697706,0.06698298950062,1.3710263917526,20.183815546756,12.691892405935,12.703999851093
