Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,13.012879,14.844727,182.300000,2663.442159
2,1.000000,1.000000,16.772698,20.240461,228.725000,3965.339727
3,1.000000,1.000000,12.482493,13.516282,169.300000,2549.534892
4,0.000000,0.638683,85.756928,97.345898,1000.025000,6850.770278
5,1.000000,1.000000,12.952935,14.788573,187.225000,3775.025460
6,1.000000,1.000000,12.490413,15.375289,179.175000,3394.521296
7,1.000000,1.000000,13.446572,18.746043,208.225000,4098.214125
8,1.000000,1.000000,15.802786,21.526795,249.650000,4778.945264
9,1.000000,1.000000,12.403536,16.915622,183.150000,3578.376874
10,1.000000,1.000000,12.292358,14.021649,169.400000,3450.027788
11,1.000000,1.000000,12.328040,16.075260,187.675000,3646.778031
12,1.000000,1.000000,13.991638,18.200787,200.500000,3220.006901
13,1.000000,1.000000,12.794787,15.392838,184.550000,3089.755554
14,1.000000,1.000000,12.747760,15.620130,199.200000,4220.611772
15,1.000000,1.000000,13.288143,14.559367,178.900000,2025.144568
16,0.000000,0.114634,30.684954,39.612859,1000.025000,48709.104041
17,1.000000,1.000000,17.102590,21.984411,242.350000,4438.312002
18,1.000000,1.000000,12.272741,13.702518,168.600000,3292.879199
19,1.000000,1.000000,12.339357,18.275956,193.900000,4327.707325
20,1.000000,1.000000,13.282181,16.621587,193.675000,3434.158972
21,1.000000,1.000000,12.927499,16.102419,176.600000,2326.308173
22,1.000000,1.000000,13.670168,15.763903,198.075000,3241.233723
23,1.000000,1.000000,15.930424,20.825008,252.100000,4849.238480
24,1.000000,1.000000,13.093951,14.960692,179.850000,3303.543145
25,1.000000,1.000000,13.103448,15.084628,180.300000,2834.349726
26,1.000000,1.000000,12.412192,13.760660,170.175000,3370.544286
27,1.000000,1.000000,13.177437,17.857257,191.975000,3380.400082
28,1.000000,1.000000,13.796456,16.350724,193.125000,3034.389450
29,1.000000,1.000000,12.371353,14.033786,174.025000,3263.019767
30,1.000000,1.000000,12.273068,13.158033,168.325000,3305.392906
31,1.000000,1.000000,12.455469,25.040355,214.075000,5094.937073
32,1.000000,1.000000,14.179120,19.533681,206.225000,3870.626263
33,1.000000,1.000000,13.402264,22.891524,211.825000,4765.440719
34,1.000000,1.000000,12.278660,12.973125,168.250000,3274.843494
35,1.000000,1.000000,12.982685,13.884694,177.350000,3565.362775
36,1.000000,1.000000,13.352907,15.708888,196.275000,3538.701742
37,1.000000,1.000000,12.383425,13.189058,169.400000,3074.281577
38,1.000000,1.000000,13.498826,21.902675,185.600000,3962.401679
39,1.000000,1.000000,12.456383,14.363258,170.350000,3326.338036
40,1.000000,1.000000,13.305996,14.648314,185.500000,2799.624640
41,1.000000,1.000000,14.905486,21.136778,220.200000,4135.807704
42,1.000000,1.000000,12.624987,18.037354,187.825000,3911.845371
43,1.000000,1.000000,12.374816,13.641775,169.325000,3288.583342
44,1.000000,1.000000,13.051713,16.262357,193.725000,3341.437484
45,1.000000,1.000000,13.842082,18.483536,212.650000,4112.470143
46,1.000000,1.000000,13.208862,19.670702,184.550000,3069.310281
47,1.000000,1.000000,13.108477,14.812605,178.075000,2949.324624
48,1.000000,1.000000,12.471956,16.913364,192.550000,4344.751523
49,1.000000,1.000000,12.469858,13.193076,168.650000,2366.477161
50,1.000000,1.000000,13.412819,14.584438,182.250000,2781.439289
