Time,X,Y,Z,tau_environment,KSSS,K_s,journey_2,journey_3,power_sekibun,distance_2,distance_3
0,0,0,4.4187496558976,0,0,0,0,4.4187496558976,0,12.727922061358,15.460244740761
0.025,-5.4990269508016e-05,-1.8270375339824e-09,4.4153103872473,0,0,0,5.4990269538367e-05,4.422189364138,0.025657722088793,12.727960944118,15.458324703404
0.05,-0.00010985338653015,6.716959372588e-09,4.4057397687664,0,0,0,0.00010985338722579,4.4317601398677,0.025661154378778,12.727999744419,15.452927333895
0.075,-0.00016459126500198,9.9748856907822e-09,4.39003779956,0,0,0,0.00016459126579457,4.4474622044834,0.025664601093609,12.728038452543,15.444060376671
0.1,-0.00021920400011212,1.3207040447882e-08,4.368204478722,0,0,0,0.00021920400100036,4.469295593624,0.02566806222132,12.728077072275,15.431736569711
0.125,-0.00027369142774195,1.6495001339307e-08,4.3402398062891,0,0,0,0.00027369142872939,4.4972603191395,0.0256715375617,12.728115603557,15.415973673709
0.15,-0.00032805336170209,1.9794850637793e-08,4.3061437824655,0,0,0,0.00032805336278968,4.5313563862999,0.025675027054451,12.728154046225,15.396794534565
0.175,-0.00038228961441747,2.309618500646e-08,4.2659164074805,0,0,0,0.00038228961560554,4.5715837978466,0.025678530428312,12.728192400138,15.374227160378
0.2,-0.00043639999861833,2.6397327364097e-08,4.2195576815674,0,0,0,0.0004363999999071,4.6179425553388,0.025682048025471,12.728230665162,15.348304815708
0.225,-0.00049038432746249,2.9698038361325e-08,4.1670676049602,0,0,0,0.00049038432885217,4.6704326597066,0.025685579879637,12.728268841164,15.319066133445
0.25,-0.0005442424145431,3.2998286470415e-08,4.1084461778933,0,0,0,0.00054424241603389,4.7290541115144,0.025689125954738,12.72830692801,15.286555244554
0.275,-0.00059797407388939,3.6298067836158e-08,4.0436934006014,0,0,0,0.0005979740754815,4.7938069110994,0.025692686231596,12.728344925569,15.250821926026
0.3,-0.00039962253501144,0.0053637942850027,3.9795377266932,0,0,0,0.005965398325099,4.8581867195621,0.30371958634209,12.731997896353,15.21863159406
0.325,-0.00044648719197265,0.026859607292268,3.9478191324475,0,0,0,0.027461262418905,4.8965030528165,0.84837036020451,12.747244068369,15.214051024997
0.35,-0.0033239934355387,0.038437131879191,3.9422844104113,0,0,0,0.039391020075394,4.9096541845458,1.277071606435,12.757475797261,15.21960589096
0.375,-0.0042959928832632,0.045951449023037,3.938948901993,0,0,0,0.046967941948073,4.9179327932135,1.6415663340739,12.763486355441,15.222826383976
