Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,25.456283,33.020080,363.525000,12252.248062
2,1.000000,1.000000,19.590535,31.068912,268.500000,8789.516651
3,0.000000,0.953206,44.142724,68.850022,1000.025000,39580.023187
4,0.000000,0.730394,63.833295,94.754745,1000.025000,38466.059069
5,0.000000,0.809696,27.555063,37.135739,1000.025000,31711.082152
6,1.000000,1.000000,23.071089,31.787943,302.475000,9133.758133
7,1.000000,1.000000,35.789458,50.531902,558.200000,18501.769773
8,0.000000,0.474965,42.203977,55.550250,1000.025000,35707.968772
9,0.000000,0.471851,50.374032,76.682471,1000.025000,42265.185462
10,1.000000,1.000000,14.652083,19.310288,217.600000,4884.140881
11,0.000000,0.601616,43.853012,68.864042,1000.025000,40484.071830
12,1.000000,1.000000,34.241231,52.377967,559.800000,19939.319493
13,1.000000,1.000000,30.518377,47.799656,509.800000,17931.514144
14,0.000000,0.403995,47.924707,73.681645,1000.025000,40413.756011
15,0.000000,0.363548,40.929843,67.592454,1000.025000,45037.974121
16,1.000000,1.000000,48.881113,65.963771,686.375000,22454.835977
17,0.000000,0.917598,43.587412,70.024470,1000.025000,39915.779044
18,0.000000,0.000258,6.430746,8.325171,1000.025000,7074.258920
19,0.000000,0.382723,24.226563,34.407490,1000.025000,17324.785366
20,0.000000,0.668772,392.091112,408.801306,1000.025000,14146.941927
21,1.000000,1.000000,14.704023,22.127270,205.900000,4310.880104
22,0.000000,0.388145,56.749570,89.997589,1000.025000,39399.245664
23,0.000000,0.000676,19.004757,25.018720,1000.025000,57389.990523
24,0.000000,0.396564,44.075508,78.694252,1000.025000,43395.434954
25,1.000000,1.000000,22.386280,31.397805,316.900000,9714.080241
26,0.000000,0.908889,49.887784,78.257211,1000.025000,39525.916754
27,1.000000,1.000000,26.037076,33.661624,351.175000,12506.885390
28,0.000000,0.098839,60.380863,76.474306,1000.025000,39698.013169
29,0.000000,0.000258,52.948404,85.706173,1000.025000,41279.492665
30,1.000000,1.000000,50.236755,66.628126,820.950000,27928.429114
31,1.000000,1.000000,25.926392,36.845633,396.975000,12461.477588
32,0.000000,0.290703,48.087909,58.485500,1000.025000,18783.115779
33,1.000000,1.000000,19.243833,28.048573,268.675000,7833.704510
34,1.000000,1.000000,24.846093,33.336301,368.075000,10626.997163
35,1.000000,1.000000,38.178430,51.225697,551.725000,16646.754397
36,0.000000,0.978586,47.317774,75.043260,1000.025000,41031.674207
37,0.000000,0.757804,55.750537,87.291321,1000.025000,39825.195883
38,0.000000,0.654178,50.487002,80.425128,1000.025000,40924.021089
39,0.000000,0.184555,45.128335,61.523048,1000.025000,22653.185959
40,1.000000,1.000000,21.315946,28.163805,297.900000,9115.925041
41,1.000000,1.000000,23.702465,31.958092,387.850000,12473.820984
42,0.000000,0.099021,41.783701,61.611310,1000.025000,38050.788636
43,0.000000,0.248828,15.198800,19.984805,1000.025000,33051.000688
44,1.000000,1.000000,22.082567,30.273244,302.575000,8609.210688
45,1.000000,1.000000,19.399580,26.560323,251.725000,6975.495852
46,0.000000,0.571025,54.669560,81.259433,1000.025000,37912.469077
47,0.000000,0.836991,21.183809,75.232317,204.325000,4950.904724
48,0.000000,0.969810,55.243053,80.884321,1000.025000,36311.191554
49,0.000000,0.000258,42.863408,72.960993,1000.025000,43559.463473
50,0.000000,0.064275,56.197225,84.502893,1000.025000,39795.509678
