Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,0.000000,0.107657,13.890943,17.884344,1000.025000,17102.326950
2,1.000000,1.000000,17.749336,27.392496,240.500000,7023.599579
3,0.000000,0.951425,43.814120,68.184455,1000.025000,39786.552806
4,1.000000,1.000000,30.758705,48.235509,467.525000,16846.042920
5,0.000000,0.172268,9.503046,13.244618,1000.025000,56694.934841
6,1.000000,1.000000,23.190792,32.236954,314.050000,9940.765369
7,1.000000,1.000000,31.218247,43.177281,508.425000,17170.224597
8,0.000000,0.000236,43.153772,55.113728,1000.025000,29046.745022
9,1.000000,1.000000,33.066431,48.515890,401.025000,12756.776322
10,1.000000,1.000000,14.055245,18.582761,209.800000,4440.352353
11,0.000000,0.615554,45.010364,70.980395,1000.025000,40267.387257
12,1.000000,1.000000,22.309992,35.963102,280.150000,9748.655407
13,1.000000,1.000000,25.334792,39.299631,451.225000,16269.795410
14,0.000000,0.199981,50.866025,59.826193,1000.025000,22434.263353
15,0.000000,0.360229,43.460652,70.217640,1000.025000,42592.098679
16,1.000000,1.000000,34.577633,49.337790,508.825000,17496.722364
17,0.000000,0.797450,41.896109,68.207897,1000.025000,40578.434694
18,0.000000,0.000258,50.590943,54.373618,1000.025000,13679.649747
19,1.000000,1.000000,31.297634,45.127610,549.550000,19875.329938
20,0.000000,0.672837,44.014694,109.208559,919.525000,40410.100410
21,1.000000,1.000000,15.278227,22.990519,224.950000,6143.817445
22,0.000000,0.396755,55.125751,87.781562,1000.025000,39355.771800
23,0.000000,0.361081,33.377592,55.518221,1000.025000,33301.077783
24,0.000000,0.396670,46.863842,78.718544,1000.025000,42109.885113
25,1.000000,1.000000,19.236944,28.643712,302.975000,9057.085316
26,0.000000,0.905146,48.013174,76.091269,1000.025000,38701.862253
27,1.000000,1.000000,29.140868,37.245974,378.750000,12033.764127
28,0.000000,0.409530,40.827786,61.692093,1000.025000,40387.063472
29,0.000000,0.000258,53.674132,87.270319,1000.025000,41183.834988
30,1.000000,1.000000,43.396897,61.330909,807.675000,30453.869139
31,1.000000,1.000000,15.943295,25.090952,243.850000,6925.411739
32,1.000000,1.000000,20.165065,26.713597,309.825000,9230.382457
33,1.000000,1.000000,17.164406,24.680684,237.175000,6162.342512
34,1.000000,1.000000,23.358600,31.199843,317.525000,9395.802866
35,1.000000,1.000000,27.717293,37.217347,402.625000,13009.917648
36,1.000000,1.000000,15.210219,26.054250,217.350000,5710.562490
37,0.000000,0.757699,54.022838,83.190325,1000.025000,38620.691595
38,0.000000,0.650221,47.744335,76.656365,1000.025000,42060.278200
39,1.000000,1.000000,34.068791,47.664797,533.700000,18411.159575
40,1.000000,1.000000,24.138469,32.621237,428.225000,14272.526705
41,1.000000,1.000000,36.805706,50.458466,632.500000,27036.688454
42,0.000000,0.087822,51.525612,75.992301,1000.025000,39242.619004
43,0.000000,0.685451,51.591073,60.179720,1000.025000,36780.860674
44,1.000000,1.000000,18.420065,27.602149,227.125000,7566.367685
45,1.000000,1.000000,17.823034,23.966126,228.150000,5610.089521
46,0.000000,0.589565,51.559700,79.477738,1000.025000,40267.430199
47,0.000000,0.805182,19.582788,74.391490,196.525000,4922.396485
48,1.000000,1.000000,17.941851,23.467722,244.350000,5539.593717
49,0.000000,0.000258,45.137175,72.797224,1000.025000,41553.417611
50,0.000000,0.065687,56.265328,84.906495,1000.025000,39994.128456
