Map_Num,Success,Cover_Rate,Journey_2,Journey_3,Time_Cost,Energy_Cost
1,1.000000,1.000000,25.263642,33.304700,345.100000,6590.972513
2,1.000000,1.000000,26.961655,37.305094,361.275000,8483.968651
3,1.000000,1.000000,12.933741,17.392148,221.300000,4335.944185
4,1.000000,1.000000,40.622492,65.544051,630.850000,16520.656098
5,1.000000,1.000000,20.205794,27.504705,279.950000,4926.307146
6,1.000000,1.000000,69.356119,104.436813,965.450000,23540.977443
7,1.000000,1.000000,17.504788,24.739273,257.950000,5306.626083
8,1.000000,1.000000,40.540595,59.079439,639.700000,13732.295714
9,1.000000,1.000000,37.013110,50.691240,438.225000,8427.646443
10,1.000000,1.000000,13.378549,18.662182,219.425000,4502.104531
11,1.000000,1.000000,14.968189,21.506976,246.175000,5130.207978
12,1.000000,1.000000,17.941622,34.827942,229.350000,5758.692974
13,0.000000,0.954440,28.434092,88.902082,280.450000,6780.525867
14,0.000000,0.932926,61.143743,86.204489,1000.025000,21040.709764
15,1.000000,1.000000,36.203460,53.089028,460.300000,11029.233683
16,1.000000,1.000000,33.406918,48.030247,444.150000,9548.247605
17,1.000000,1.000000,17.703329,31.880246,301.375000,7397.462401
18,1.000000,1.000000,19.645701,26.893222,313.300000,6358.721856
19,1.000000,1.000000,14.254173,19.767058,215.075000,4138.994201
20,0.000000,0.816490,23.725972,73.137783,187.500000,3756.129134
21,1.000000,1.000000,13.751253,21.903373,216.325000,4346.801973
22,0.000000,0.406821,56.373358,102.166786,1000.025000,28298.465100
23,1.000000,1.000000,32.924027,44.727974,459.675000,9117.737213
24,1.000000,1.000000,21.822821,39.107035,275.750000,6899.642404
25,1.000000,1.000000,13.505050,20.272899,204.400000,3032.757485
26,0.000000,0.890511,52.531184,125.363511,661.550000,16559.182204
27,0.000000,0.872691,53.109008,60.903715,1000.025000,28020.449025
28,1.000000,1.000000,17.848558,26.552064,274.825000,5925.497299
29,0.000000,0.078181,57.685308,118.332644,1000.025000,28144.329164
30,1.000000,1.000000,18.916676,27.575896,276.450000,6174.711967
31,0.000000,0.979819,40.135512,51.594944,1000.025000,3847.336815
32,1.000000,1.000000,13.995580,18.765640,228.400000,4441.336974
33,1.000000,1.000000,24.928051,34.014210,297.975000,6105.468839
34,1.000000,1.000000,17.027923,23.720824,228.800000,4334.784723
35,1.000000,1.000000,21.529651,30.329460,313.325000,6400.058401
36,1.000000,1.000000,18.893452,31.447890,311.300000,7498.689079
37,0.000000,0.769854,63.013170,127.033799,1000.025000,27705.299423
38,1.000000,1.000000,44.774384,81.637961,701.225000,19403.069815
39,1.000000,1.000000,46.007957,60.453477,626.625000,12971.054102
40,1.000000,1.000000,42.114887,49.444993,970.575000,29984.226509
41,1.000000,1.000000,15.301841,21.717075,254.450000,5470.740133
42,1.000000,1.000000,22.302467,37.165979,316.250000,5844.529566
43,1.000000,1.000000,32.825506,41.633215,473.475000,11605.271973
44,1.000000,1.000000,13.848924,21.532554,213.800000,4507.752896
45,0.000000,0.073902,64.060867,72.947753,1000.025000,4424.028288
46,1.000000,1.000000,29.085252,49.399709,471.250000,11536.297550
47,1.000000,1.000000,13.031418,17.435217,219.375000,5421.639035
48,1.000000,1.000000,32.744270,56.098730,546.475000,13880.931432
49,0.000000,0.390285,65.059156,121.886997,1000.025000,28182.313787
50,0.000000,0.072434,52.744943,104.332022,1000.025000,28622.362650
